depth	min	max	median	mean
3	2221	4540	3388	3365
4	2884	4577	3705	3693
5	3534	4632	3996	4021
6	4031	4710	4320	4349
7	4337	5185	4662	4677
8	4418	5858	4922	5005
9	4479	5916	4952	5043
10	4530	5983	5002	5080
11	4575	6058	5059	5118
12	4610	6156	5108	5155
13	4645	6262	5149	5193
14	4886	6314	5329	5389
15	5027	6381	5544	5586
16	5124	6530	5765	5782
17	5222	6750	5977	5979
18	5319	7079	6165	6175
19	5585	7113	6306	6327
20	5846	7156	6476	6478
21	6024	7204	6642	6630
22	6137	7272	6817	6781
23	6252	7378	6992	6933
24	6352	7389	7032	6982
25	6445	7403	7073	7031
26	6549	7419	7115	7079
27	6613	7436	7163	7128
28	6660	7454	7212	7177
29	6847	7467	7261	7238
30	7007	7490	7311	7298
31	7175	7522	7358	7358
32	7307	7566	7414	7418
33	7356	7641	7470	7479
34	7444	7941	7676	7681
35	7490	8292	7874	7883
36	7529	8664	8072	8085
37	7559	9043	8272	8288
38	7594	9434	8472	8490
39	7988	9468	8687	8704
40	8379	9519	8903	8917
41	8758	9570	9116	9131
42	9103	9645	9332	9345
43	9371	9820	9553	9558
44	9620	10388	9904	9936
45	9669	11267	10232	10314
46	9708	12167	10559	10692
47	9738	13087	10875	11070
48	9771	14008	11206	11448
49	10086	14193	11688	11864
50	10339	14424	12244	12280
51	10498	14887	12723	12696
52	10626	15585	13189	13111
53	10738	16537	13579	13527
54	11148	16671	13949	13902
55	11452	16828	14357	14277
56	11748	17085	14815	14652
57	11918	17399	15250	15027
58	12112	17823	15679	15403
59	12883	17852	15936	15730
60	13613	17918	16180	16058
61	14205	17998	16514	16386
62	14658	18150	16852	16714
63	15006	18468	17139	17041
64	15813	18519	17465	17388
65	16616	18567	17777	17734
66	17405	18619	18101	18080
67	18090	18718	18436	18426
68	18377	19151	18768	18772
69	18654	19509	19080	19080
70	18799	19943	19398	19389
71	18878	20412	19718	19697
72	18969	20898	20035	20005
73	19050	21410	20352	20313
74	19648	21498	20624	20607
75	20165	21611	20908	20902
76	20599	21776	21204	21196
77	20875	22071	21494	21490
78	21031	22590	21772	21785
79	21250	22681	21926	21927
80	21387	22765	22077	22070
81	21483	22904	22227	22213
82	21566	23078	22376	22356
83	21623	23315	22513	22498
84	21873	23368	22643	22638
85	22084	23428	22789	22778
86	22250	23494	22936	22917
87	22390	23593	23092	23057
88	22492	23730	23237	23197
89	22782	23792	23348	23329
90	23027	23877	23473	23462
91	23170	24014	23611	23594
92	23240	24258	23728	23727
93	23282	24557	23837	23859
94	23362	24680	23948	23976
95	23416	24827	24067	24092
96	23471	25047	24176	24209
97	23516	25327	24274	24325
98	23560	25671	24367	24441
99	23614	25797	24494	24551
100	23662	25880	24620	24661
101	23708	26042	24745	24771
102	23755	26220	24861	24882
103	23805	26408	24969	24992
104	23916	26514	25154	25156
105	24015	26667	25308	25321
106	24120	26833	25464	25485
107	24186	27007	25634	25650
108	24258	27252	25803	25815
109	24809	27332	26112	26121
110	25302	27424	26438	26427
111	25603	27519	26785	26733
112	25837	27640	27152	27039
113	25982	27875	27516	27345
114	26123	27901	27584	27417
115	26278	27947	27645	27490
116	26407	28025	27699	27562
117	26543	28131	27747	27635
118	26644	28260	27799	27707
119	26742	28299	27848	27756
120	26835	28340	27893	27804
121	26902	28395	27933	27852
122	26964	28469	27971	27900
123	27005	28534	28005	27948
124	27092	28562	28049	27998
125	27183	28605	28091	28048
126	27238	28682	28135	28098
127	27296	28749	28175	28148
128	27375	28828	28216	28198
129	27489	28899	28266	28248
130	27585	28954	28314	28298
131	27689	29001	28362	28348
132	27768	29092	28407	28398
133	27837	29151	28450	28448
134	27960	29202	28496	28501
135	28070	29280	28539	28554
136	28150	29338	28587	28607
137	28242	29388	28635	28660
138	28292	29435	28684	28713
139	28457	29514	28846	28871
140	28573	29609	29013	29028
141	28633	29794	29179	29185
142	28695	30031	29340	29343
143	28744	30297	29499	29500
144	29004	30334	29625	29632
145	29191	30397	29756	29764
146	29362	30452	29895	29896
147	29484	30551	30029	30027
148	29563	30717	30164	30159
149	29702	30750	30238	30233
150	29805	30792	30308	30308
151	29880	30855	30389	30382
152	29927	30929	30466	30456
153	29977	31044	30535	30531
154	30095	31078	30621	30609
155	30183	31131	30705	30687
156	30249	31184	30786	30765
157	30295	31271	30871	30843
158	30352	31372	30953	30921
159	30532	31415	31015	30998
160	30680	31449	31079	31075
161	30831	31510	31146	31152
162	30937	31569	31220	31230
