depth	min	max	median	mean
6	4641	5071	4842	4838
7	4709	5219	4929	4939
8	4745	5395	5019	5040
9	4769	5629	5107	5141
10	4792	5878	5199	5242
11	4815	6135	5289	5343
12	4900	6217	5389	5438
13	4960	6303	5497	5533
14	5001	6411	5604	5628
15	5040	6588	5700	5724
16	5068	6766	5800	5819
17	5155	6848	5895	5913
18	5220	6924	5996	6007
19	5258	7037	6085	6101
20	5304	7191	6183	6195
21	5332	7368	6278	6289
22	5463	7424	6382	6391
23	5564	7475	6489	6493
24	5647	7547	6590	6595
25	5707	7673	6689	6698
26	5763	7811	6787	6800
27	5913	7856	6888	6890
28	6013	7907	6984	6979
29	6090	7978	7088	7068
30	6150	8061	7180	7158
31	6209	8156	7273	7247
32	6371	8201	7370	7341
33	6499	8244	7462	7435
34	6596	8299	7560	7529
35	6664	8368	7655	7622
36	6748	8452	7758	7716
37	6923	8489	7858	7817
38	7072	8522	7965	7918
39	7208	8568	8069	8019
40	7262	8626	8173	8120
41	7303	8714	8281	8221
42	7859	8772	8425	8399
43	8372	8875	8581	8577
44	8523	9064	8746	8754
45	8573	9527	8895	8932
46	8610	10043	9042	9110
47	8707	10095	9171	9229
48	8761	10173	9311	9349
49	8792	10301	9441	9468
50	8839	10503	9560	9588
51	8878	10703	9678	9708
52	9018	10749	9796	9823
53	9111	10807	9933	9939
54	9176	10879	10076	10055
55	9249	10987	10203	10171
56	9308	11136	10318	10286
57	9468	11183	10421	10394
58	9600	11241	10539	10502
59	9694	11286	10655	10609
60	9765	11375	10774	10717
61	9842	11472	10887	10825
62	10133	11512	10978	10940
63	10421	11555	11077	11055
64	10700	11596	11176	11170
65	10926	11663	11281	11285
66	11051	11756	11390	11400
67	11257	11815	11481	11497
68	11349	11906	11581	11593
69	11395	12041	11676	11690
70	11426	12229	11764	11786
71	11455	12449	11850	11883
72	11556	12493	11940	11965
73	11619	12542	12037	12046
74	11667	12605	12127	12128
75	11704	12684	12220	12210
76	11732	12830	12298	12291
77	11888	12866	12383	12376
78	12025	12897	12459	12460
79	12129	12945	12551	12545
80	12215	12997	12640	12629
81	12274	13092	12725	12714
82	12513	13156	12818	12829
83	12634	13277	12931	12944
84	12694	13509	13039	13059
85	12741	13790	13138	13173
86	12777	14115	13230	13288
87	12862	14210	13362	13408
88	12915	14358	13489	13527
89	12965	14553	13612	13646
90	13005	14769	13720	13766
91	13043	15047	13823	13885
92	13162	15127	13960	14007
93	13242	15247	14083	14128
94	13308	15413	14206	14249
95	13352	15643	14324	14371
96	13397	15901	14443	14492
97	13527	15949	14553	14605
98	13610	16049	14676	14718
99	13686	16179	14797	14832
100	13731	16324	14916	14945
101	13792	16511	15026	15058
102	13943	16585	15143	15172
103	14071	16647	15268	15287
104	14157	16757	15390	15402
105	14228	16888	15513	15516
106	14303	17025	15631	15631
107	14438	17127	15739	15747
108	14528	17207	15856	15863
109	14613	17308	15984	15980
110	14692	17424	16103	16096
111	14768	17558	16221	16212
112	14934	17611	16332	16318
113	15071	17671	16441	16424
114	15197	17719	16557	16531
115	15294	17818	16677	16637
116	15353	17926	16783	16743
117	15523	17974	16869	16839
118	15655	18042	16968	16936
119	15770	18112	17064	17032
120	15876	18186	17166	17128
121	15949	18273	17267	17225
122	16127	18319	17360	17323
123	16267	18372	17464	17421
124	16398	18427	17560	17520
125	16476	18500	17658	17618
126	16563	18613	17755	17716
127	16767	18647	17847	17815
128	16914	18681	17957	17914
129	17048	18732	18065	18012
130	17157	18788	18172	18111
131	17221	18860	18277	18210
132	17496	18897	18349	18308
133	17738	18922	18432	18406
134	17966	18957	18515	18504
135	18166	19017	18611	18602
136	18292	19099	18710	18700
137	18481	19144	18796	18798
138	18616	19209	18889	18895
139	18701	19300	18986	18992
140	18767	19448	19074	19090
141	18803	19657	19163	19187
142	18941	19682	19252	19269
143	19053	19721	19338	19352
144	19138	19778	19423	19434
145	19204	19871	19512	19516
146	19256	19982	19596	19599
147	19430	20067	19700	19721
148	19510	20253	19816	19843
149	19568	20550	19926	19966
150	19610	20895	20028	20088
