depth	min	max	median	mean
0	888	4047	3160	2931
0.1	951	4048	3178	2953
0.2	1014	4050	3194	2975
0.3	1077	4052	3210	2998
0.4	1140	4054	3226	3020
0.5	1203	4056	3247	3042
0.6	1266	4058	3265	3064
0.7	1330	4061	3280	3087
0.8	1393	4063	3299	3109
0.9	1456	4065	3314	3131
1	1521	4066	3331	3153
1.1	1585	4069	3346	3175
1.2	1650	4073	3363	3198
1.3	1714	4075	3382	3220
1.4	1778	4078	3398	3242
1.5	1841	4084	3411	3264
1.6	1905	4090	3427	3286
1.7	1962	4095	3443	3309
1.8	2025	4100	3461	3331
1.9	2089	4103	3477	3353
2	2152	4106	3494	3375
2.1	2216	4109	3509	3398
2.2	2279	4112	3527	3420
2.3	2343	4116	3544	3442
2.4	2405	4119	3561	3464
2.5	2466	4122	3575	3486
2.6	2529	4124	3590	3509
2.7	2591	4131	3604	3531
2.8	2655	4137	3622	3553
2.9	2719	4141	3637	3575
3	2782	4146	3652	3598
3.1	2845	4149	3668	3620
3.2	2908	4152	3688	3642
3.3	2971	4154	3705	3664
3.4	3034	4159	3722	3686
3.5	3098	4169	3740	3709
3.6	3161	4170	3757	3731
3.7	3223	4173	3776	3753
3.8	3280	4182	3795	3775
3.9	3331	4192	3817	3798
4	3377	4200	3836	3820
4.1	3421	4206	3854	3842
4.2	3469	4214	3869	3864
4.3	3510	4220	3891	3886
4.4	3544	4230	3910	3909
4.5	3560	4238	3932	3931
4.6	3591	4253	3957	3953
4.7	3610	4269	3982	3975
4.8	3634	4287	4009	3997
4.9	3653	4314	4033	4020
5	3671	4328	4056	4042
5.1	3705	4336	4071	4057
5.2	3745	4342	4085	4072
5.3	3781	4350	4096	4087
5.4	3817	4358	4107	4102
5.5	3852	4363	4120	4117
5.6	3871	4369	4134	4132
5.7	3899	4377	4147	4147
5.8	3921	4384	4160	4162
5.9	3944	4394	4175	4177
6	3971	4405	4192	4192
6.1	3992	4421	4208	4207
6.2	4002	4439	4224	4222
6.3	4008	4459	4237	4237
6.4	4017	4479	4250	4252
6.5	4023	4507	4264	4267
6.6	4033	4535	4276	4282
6.7	4042	4566	4292	4297
6.8	4051	4594	4304	4312
6.9	4059	4627	4316	4327
7	4069	4663	4328	4341
7.1	4074	4704	4340	4356
7.2	4079	4748	4353	4371
7.3	4083	4789	4365	4386
7.4	4086	4829	4376	4401
7.5	4088	4871	4388	4416
7.6	4094	4913	4401	4431
7.7	4099	4953	4415	4446
7.8	4103	4993	4426	4461
7.9	4110	5030	4441	4476
8	4117	5066	4453	4491
8.1	4121	5102	4464	4506
8.2	4124	5139	4475	4521
8.3	4129	5183	4487	4536
8.4	4132	5227	4497	4551
8.5	4137	5271	4508	4566
8.6	4140	5317	4520	4581
8.7	4143	5361	4532	4596
8.8	4146	5407	4544	4611
8.9	4147	5452	4556	4626
9	4150	5497	4569	4641
9.1	4154	5538	4580	4656
9.2	4156	5574	4591	4671
