depth	min	max	median	mean
43	9495	9891	9600	9624
44	9612	10615	9938	9993
45	9676	11552	10255	10362
46	9718	12462	10567	10731
47	9770	13392	10881	11101
48	9821	14326	11195	11470
49	10145	14597	11672	11865
50	10319	14981	12145	12259
51	10448	15364	12609	12654
52	10562	15890	13011	13049
53	10676	16417	13419	13444
54	11174	16555	13805	13833
55	11616	16734	14207	14223
56	11931	16919	14681	14612
57	12183	17237	15121	15002
58	12436	17699	15547	15391
59	13124	17781	15901	15749
60	13692	17880	16256	16107
61	14200	18023	16637	16464
62	14548	18172	17019	16822
63	14853	18458	17394	17180
64	15715	18498	17656	17495
65	16584	18538	17916	17811
66	17416	18591	18174	18126
67	18045	18703	18459	18442
68	18281	19255	18742	18758
69	18384	19401	18890	18902
70	18472	19695	19026	19047
71	18536	20084	19148	19192
72	18587	20478	19268	19337
73	18621	20885	19386	19482
74	18727	20987	19533	19626
75	18795	21146	19695	19770
76	18857	21310	19835	19914
77	18919	21536	19995	20058
78	18953	21846	20131	20202
79	19061	21933	20265	20332
80	19169	22046	20407	20463
81	19238	22233	20540	20593
82	19305	22384	20675	20724
83	19377	22592	20810	20854
84	19498	22724	20954	20993
85	19615	22903	21096	21132
86	19679	23088	21244	21270
87	19752	23329	21386	21409
88	19807	23541	21524	21548
89	19957	23682	21655	21688
90	20088	23792	21805	21827
91	20235	23911	21952	21967
92	20346	24082	22099	22106
93	20442	24268	22232	22246
94	20581	24379	22368	22381
95	20693	24479	22493	22516
96	20796	24632	22635	22652
97	20901	24778	22771	22787
98	20979	24980	22896	22922
99	21130	25032	23034	23061
100	21277	25120	23195	23200
101	21392	25245	23348	23339
102	21500	25445	23495	23478
103	21576	25622	23633	23617
104	21786	25702	23771	23762
105	21955	25816	23923	23906
106	22102	25923	24069	24050
107	22223	26096	24222	24195
108	22328	26304	24360	24339
109	22499	26377	24500	24472
110	22650	26465	24623	24606
111	22801	26574	24766	24740
112	22948	26698	24896	24873
113	23038	26852	25016	25007
114	23203	26935	25168	25147
115	23411	27025	25318	25287
116	23537	27126	25467	25427
117	23669	27237	25614	25567
118	23777	27418	25760	25708
119	24007	27465	25905	25849
120	24192	27536	26051	25990
121	24311	27625	26197	26131
122	24421	27725	26342	26272
123	24520	27852	26487	26414
124	24785	27914	26619	26551
125	25006	27975	26762	26689
126	25155	28052	26905	26827
127	25299	28116	27055	26965
128	25417	28242	27197	27103
129	25708	28278	27320	27236
130	25917	28331	27444	27370
131	26117	28394	27583	27503
132	26245	28471	27726	27637
133	26392	28587	27871	27770
134	26803	28618	27971	27909
135	27189	28658	28086	28049
136	27540	28708	28207	28188
137	27851	28762	28333	28328
138	28006	28893	28469	28467
139	28109	29022	28587	28581
140	28186	29224	28692	28695
141	28252	29459	28797	28808
142	28287	29744	28897	28922
143	28331	30030	28995	29035
144	28457	30096	29120	29152
145	28541	30177	29239	29268
146	28598	30291	29370	29384
147	28645	30421	29484	29500
148	28680	30611	29603	29616
149	28842	30661	29716	29728
150	28962	30723	29841	29840
151	29049	30799	29968	29952
152	29114	30898	30095	30064
153	29171	31059	30208	30176
154	29326	31086	30316	30288
155	29473	31136	30426	30400
156	29576	31182	30552	30512
157	29669	31256	30682	30623
158	29761	31361	30792	30735
159	30048	31395	30888	30849
160	30353	31432	30986	30962
161	30637	31483	31084	31076
162	30873	31551	31184	31190
