depth	min	max	median	mean
0	-57	1371	404	483
0.1	25	1423	478	552
0.2	109	1475	550	621
0.3	189	1522	622	689
0.4	269	1571	695	758
0.5	351	1622	766	827
0.6	430	1670	836	895
0.7	509	1721	907	964
0.8	589	1774	979	1033
0.9	667	1826	1052	1101
1	745	1878	1125	1170
1.1	822	1927	1198	1239
1.2	898	1976	1272	1307
1.3	974	2029	1346	1376
1.4	1051	2080	1417	1445
1.5	1128	2123	1491	1513
1.6	1205	2172	1564	1582
1.7	1279	2224	1639	1651
1.8	1355	2270	1711	1719
1.9	1433	2325	1784	1788
2	1507	2378	1858	1857
2.1	1581	2431	1931	1925
2.2	1653	2483	2004	1994
2.3	1720	2536	2072	2063
2.4	1792	2589	2140	2131
2.5	1862	2642	2212	2200
2.6	1933	2695	2284	2269
2.7	2000	2752	2360	2337
2.8	2068	2811	2432	2406
2.9	2136	2868	2506	2475
3	2206	2925	2578	2543
3.1	2273	2978	2647	2612
3.2	2339	3033	2718	2681
3.3	2401	3084	2787	2749
3.4	2450	3140	2852	2818
3.5	2504	3190	2921	2887
3.6	2548	3252	2990	2955
3.7	2588	3318	3059	3024
3.8	2638	3387	3130	3093
3.9	2696	3448	3199	3161
4	2744	3513	3267	3230
4.1	2788	3582	3339	3299
4.2	2842	3648	3409	3367
4.3	2900	3726	3478	3436
4.4	2953	3800	3547	3505
4.5	2988	3877	3615	3573
4.6	3044	3957	3683	3642
4.7	3087	4036	3753	3710
4.8	3128	4114	3820	3779
4.9	3163	4195	3890	3848
5	3198	4273	3961	3916
5.1	3218	4278	3970	3930
5.2	3243	4285	3981	3943
5.3	3265	4290	3993	3956
5.4	3281	4294	4006	3970
5.5	3301	4299	4019	3983
5.6	3323	4307	4030	3996
5.7	3349	4315	4041	4010
5.8	3375	4324	4051	4023
5.9	3402	4331	4064	4036
6	3428	4340	4076	4050
6.1	3455	4348	4086	4063
6.2	3478	4355	4099	4076
6.3	3506	4362	4114	4090
6.4	3521	4372	4128	4103
6.5	3539	4382	4144	4116
6.6	3572	4391	4159	4130
6.7	3603	4404	4173	4143
6.8	3631	4418	4186	4156
6.9	3651	4432	4199	4170
7	3677	4450	4213	4183
7.1	3705	4465	4225	4196
7.2	3730	4477	4238	4210
7.3	3750	4496	4248	4223
7.4	3767	4514	4262	4236
7.5	3787	4529	4276	4250
7.6	3802	4555	4290	4263
7.7	3826	4574	4300	4276
7.8	3847	4590	4314	4290
7.9	3868	4603	4325	4303
8	3884	4629	4339	4316
8.1	3902	4649	4349	4330
8.2	3927	4671	4361	4343
8.3	3945	4695	4372	4356
8.4	3956	4726	4383	4370
8.5	3972	4751	4396	4383
8.6	3990	4782	4408	4396
8.7	4002	4801	4419	4410
