depth	min	max	median	mean
0	-62	3225	240	474
1	736	3365	995	1180
2	1510	3506	1762	1886
3	2249	3646	2537	2591
4	2909	3826	3297	3297
5	3558	4335	4025	4003
6	3744	4368	4136	4111
7	3887	4442	4233	4219
8	3996	4565	4335	4327
9	4094	4748	4443	4436
10	4149	4947	4546	4544
11	4354	5023	4648	4652
12	4509	5157	4749	4761
13	4600	5331	4858	4869
14	4659	5497	4960	4977
15	4695	5683	5063	5085
16	4920	5865	5320	5332
17	5065	6056	5587	5579
18	5161	6372	5851	5825
19	5261	6745	6105	6072
20	5315	7126	6356	6319
21	5513	7164	6472	6439
22	5682	7201	6596	6560
23	5823	7262	6727	6681
24	5926	7334	6855	6801
25	6022	7422	6990	6922
26	6179	7438	7042	6985
27	6352	7455	7101	7048
28	6490	7478	7159	7111
29	6598	7510	7217	7173
30	6689	7547	7277	7236
31	7003	7574	7367	7348
32	7296	7620	7460	7459
33	7443	7735	7567	7571
34	7478	8005	7654	7682
35	7502	8314	7743	7794
36	7657	8532	7993	8021
37	7750	8781	8249	8249
38	7823	9058	8496	8476
39	7860	9355	8743	8703
40	7915	9693	8978	8931
41	8405	9742	9198	9157
42	8885	9799	9408	9382
43	9346	9916	9607	9608
44	9698	10124	9811	9834
45	9779	10500	10032	10060
46	9932	10966	10397	10403
47	10000	11628	10719	10747
48	10058	12387	11030	11090
49	10124	13170	11339	11434
50	10167	13931	11657	11778
51	10411	14164	12033	12127
52	10601	14523	12364	12475
53	10774	15113	12684	12824
54	10891	15754	13054	13173
55	10966	16502	13407	13522
56	11595	16681	13719	13883
57	12029	16859	14122	14245
58	12380	17104	14527	14606
59	12698	17478	14904	14967
60	12943	17982	15277	15328
61	13451	18078	15620	15634
62	13791	18178	15934	15941
63	14095	18267	16255	16247
64	14313	18410	16609	16553
65	14535	18643	16954	16859
66	15801	18727	17523	17456
67	17063	18812	18099	18054
68	18253	18943	18673	18651
69	18714	19806	19232	19249
70	18829	21036	19801	19846
71	19229	21128	20038	20092
72	19560	21236	20288	20338
73	19828	21387	20561	20584
74	20030	21567	20836	20830
75	20206	21862	21104	21076
76	20573	21935	21306	21291
77	20843	22055	21522	21506
78	21024	22286	21742	21722
79	21173	22619	21953	21937
80	21277	23042	22150	22152
81	21463	23121	22296	22296
82	21604	23202	22447	22439
83	21692	23306	22610	22583
84	21784	23463	22765	22726
85	21867	23700	22910	22870
86	22180	23735	23031	23015
87	22484	23783	23170	23160
88	22727	23828	23319	23305
89	22897	23913	23462	23450
90	23019	24042	23607	23595
91	23120	24101	23691	23674
92	23163	24171	23772	23753
93	23221	24313	23850	23832
94	23278	24483	23921	23912
95	23310	24716	23984	23991
96	23357	24780	24045	24053
97	23402	24894	24104	24116
98	23425	25001	24156	24178
99	23452	25167	24210	24240
100	23483	25321	24266	24303
101	23527	25374	24328	24363
102	23583	25433	24377	24424
103	23614	25516	24430	24484
104	23637	25605	24490	24544
105	23675	25744	24542	24605
106	23755	25835	24635	24696
107	23824	25963	24722	24787
108	23882	26065	24817	24878
109	23925	26221	24910	24969
110	23959	26397	25003	25060
111	24101	26485	25131	25185
112	24195	26578	25259	25311
113	24278	26743	25392	25437
114	24338	26900	25523	25562
115	24396	27117	25651	25688
116	24538	27210	25785	25813
117	24634	27273	25923	25938
118	24726	27371	26049	26063
119	24788	27498	26179	26188
120	24867	27668	26307	26313
121	25040	27747	26421	26431
122	25174	27830	26543	26549
123	25290	27930	26675	26668
124	25412	28063	26806	26786
125	25488	28208	26919	26904
126	25726	28254	27053	27038
127	25886	28331	27186	27172
128	26016	28404	27328	27306
129	26171	28503	27488	27440
130	26264	28646	27615	27574
131	26528	28671	27746	27714
132	26740	28723	27880	27853
133	26922	28793	28025	27993
134	27094	28872	28175	28133
135	27256	29019	28324	28273
136	27565	29044	28435	28402
137	27870	29093	28551	28531
138	28130	29146	28666	28660
139	28358	29226	28792	28789
140	28463	29372	28918	28918
141	28653	29555	29108	29100
142	28757	29799	29283	29283
143	28841	30081	29453	29465
144	28892	30425	29641	29648
145	28937	30778	29817	29830
146	29232	30831	29958	29983
147	29416	30897	30114	30136
148	29550	30988	30274	30289
149	29667	31119	30444	30443
150	29766	31347	30609	30596
151	29888	31387	30679	30674
152	29979	31435	30760	30752
153	30069	31494	30847	30830
154	30146	31553	30928	30908
155	30207	31639	31008	30986
156	30319	31673	31083	31062
157	30447	31719	31155	31138
158	30540	31796	31236	31213
159	30602	31871	31316	31289
160	30649	31940	31393	31364
161	30846	32004	31447	31438
162	31038	32067	31511	31512
