Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
50,86,,4.578,-27.566,298.561,10769,,,,,,86,0,-27.07,#DIV/0!,1.8,#DIV/0!,#DIV/0!,2.338100102,#DIV/0!,,
51,144,,12.733,-25.883,283.131,10229,,,,,,144,0,-25.36,#DIV/0!,0.6,#DIV/0!,#DIV/0!,6.846368169,#DIV/0!,,
52,128,,11.766,-26.023,297.234,10746,,,,,,128,0,-25.47,#DIV/0!,0.7,#DIV/0!,#DIV/0!,6.022054718,#DIV/0!,,
53,Taipan,,0.236,-12.241,373.186,13264,,,,,,Taipan,0,-11.21,#DIV/0!,42.9,#DIV/0!,#DIV/0!,0.097858866,#DIV/0!,,
54,LOC,,6.962,-26.936,267.188,9592,,,,,,LOC,0,-26.44,#DIV/0!,1.0,#DIV/0!,#DIV/0!,3.991972477,#DIV/0!,,
55,HOC,,1.362,-28.45,287.14,10243,,,,,,HOC,0,-27.95,#DIV/0!,5.7,#DIV/0!,#DIV/0!,0.731328712,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
