Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
11,Flush,,,-11.231,282.133,8555,10.998,41.097,1717,,,Flush,0,-9.70,10.81,#DIV/0!,#DIV/0!,#DIV/0!,0,0,5500,C Ampl 44
13,Flush,,,-12.603,358.764,10983,11.149,51.452,2189,,,Flush,0,-10.97,10.92,#DIV/0!,#DIV/0!,#DIV/0!,0,0,2000,Dilution used
14,Flush,,,-12.341,427.44,13186,11.37,61.104,2602,,,Flush,0,-10.63,11.09,#DIV/0!,#DIV/0!,#DIV/0!,0,0,,
15,Sorghum,,0.277,-15.076,457.415,14145,-0.595,6.169,255,,,Sorghum,0,-13.36,1.94,42.1,1.617,26.1,0.107705903,2.17254902,,
16,LOC,,6.91,-27.814,277.363,8472,5.48,10.91,445,,,LOC,0,-26.39,6.59,1.0,0.113,9.1,4.48595373,31.05617978,,
17,HOC,,1.31,-28.894,291.758,8982,4.117,9.409,392,,,HOC,0,-27.45,5.54,5.7,0.517,11.0,0.802159875,6.683673469,,
18,137,TOC,8.114,-27.261,262.313,8165,3.116,17.789,762,,,137,TOC,-25.85,4.78,0.8,0.154,5.4,5.46564605,21.29658793,,
19,124,TOC,7.656,-27.467,227.352,7101,3.199,15.907,687,,,124,TOC,-26.11,4.84,0.8,0.147,5.2,5.929869033,22.28820961,,
20,127,TOC,7.383,-27.76,196.032,5974,2.781,13.469,543,,,127,TOC,-26.47,4.52,0.7,0.130,5.2,6.797204553,27.19337017,,
21,126,TOC,7.39,-27.866,263.99,8224,2.784,16.308,692,,,126,TOC,-26.45,4.53,0.9,0.155,5.9,4.942242218,21.3583815,,
22,123,TOC,6.044,-27.721,187.157,5903,3.112,13.042,569,,,123,TOC,-26.44,4.78,0.8,0.154,5.2,5.631373878,21.24428822,,
23,112,TOC,6.833,-28.445,266.218,8086,2.464,13.051,526,,,112,TOC,-27.04,4.28,1.0,0.136,7.3,4.647724462,25.98098859,,
24,84,TOC,5.231,-28.715,304.755,9329,2.245,12.35,503,,,84,TOC,-27.25,4.11,1.5,0.168,8.9,3.083985422,20.79920477,,
25,38.5,TOC,0.672,-27.501,339.716,10702,-0.073,5.716,241,,,38.5,TOC,-25.97,2.34,12.9,0.619,20.9,0.345356008,5.576763485,,
26,26,TOC,0.538,-25.184,340.393,10597,0.536,10.801,453,,,26,TOC,-23.64,2.81,16.2,1.438,11.2,0.279229971,2.375275938,,
27,30,TOC,0.956,-24.93,626.242,19570,1.083,20.938,895,,,30,TOC,-23.20,3.22,16.7,1.521,11.0,0.268676546,2.136312849,,
28,174,TOC,13.924,-26.746,271.127,8330,3.426,26.227,1098,,,174,TOC,-25.32,5.02,0.5,0.129,3.9,9.193517407,25.36247723,,
29,185,TOC,13.988,-30.416,295.614,9268,3.558,27.254,1196,,,185,TOC,-28.97,5.12,0.5,0.133,4.1,8.301035822,23.39130435,,
30,186,TOC,13.311,-26.475,242.254,7391,3.171,24.613,1026,,,186,TOC,-25.10,4.82,0.5,0.127,3.7,9.905357868,25.94736842,,
31,194,TOC,11.245,-26.312,219.979,6955,3.543,22.859,1006,,,194,TOC,-24.96,5.11,0.5,0.140,3.6,8.892523364,22.35586481,,
32,193,TOC,12.216,-26.712,206.432,6439,3.202,21.484,925,,,193,TOC,-25.39,4.84,0.4,0.122,3.6,10.43453952,26.41297297,,
33,Sorghum,,0.232,-15.477,393.913,12479,-1.179,4.35,184,,,Sorghum,0,-13.81,1.49,43.4,1.369,31.7,0.102251783,2.52173913,,
34,LOC,,6.953,-27.983,278.124,8739,6.351,10.801,460,,,LOC,0,-26.54,7.25,1.0,0.111,9.2,4.375958348,30.23043478,,
35,HOC,,0.493,-29.173,114.617,3596,2.557,3.475,144,,,HOC,0,-28.05,4.35,6.0,0.516,11.6,0.754032258,6.847222222,,
36,HOC,,0.962,-29.264,217.362,6883,4.065,7.053,305,,,HOC,0,-27.93,5.51,5.8,0.531,10.9,0.768705506,6.308196721,,
37,HOC,,2.422,-29.723,553.296,17358,4.246,17.007,739,,,HOC,0,-28.04,5.64,5.8,0.494,11.8,0.767427123,6.554803789,,
38,HOC,,4.091,-29.506,936.129,28967,4.503,28.183,1219,,,HOC,0,-27.99,5.84,5.8,0.468,12.4,0.776763213,6.712059065,,
39,195,TOC,13.09,-26.445,266.322,8101,3.458,26.94,1118,,,195,TOC,-25.03,5.04,0.5,0.140,3.7,8.887174423,23.41681574,,
40,149,TOC,9.45,-25.052,271.421,8505,3.294,19.104,818,,,149,TOC,-23.61,4.92,0.7,0.141,5.2,6.111111111,23.10513447,,
41,147,TOC,9.095,-25.388,241.213,7554,3.054,17.889,768,,,147,TOC,-23.99,4.73,0.7,0.138,4.9,6.621988351,23.68489583,,
42,143,TOC,10.011,-26.741,272.12,8593,3.025,19.871,864,,,143,TOC,-25.30,4.71,0.7,0.138,5.0,6.407599209,23.17361111,,
43,148,TOC,9.256,-27.035,230.037,7269,3.298,18.708,816,,,148,TOC,-25.67,4.92,0.6,0.141,4.5,7.003439263,22.68627451,,
44,150,TOC,8.473,-33.405,195.214,5857,2.533,14.977,599,,,150,TOC,-32.16,4.33,0.6,0.125,4.7,7.956547721,28.29048414,,
45,141,TOC,8.603,-27.416,221.814,6665,2.071,14.513,569,,,141,TOC,-26.08,3.98,0.7,0.119,5.5,7.099249812,30.23901582,,
46,165,TOC,9.227,-26.326,208.203,6649,3.257,18.691,833,,,165,TOC,-24.99,4.89,0.6,0.142,4.1,7.632501128,22.15366146,,
47,169,TOC,9.117,-24.553,225.9,7192,3.207,17.763,787,,,169,TOC,-23.17,4.85,0.6,0.137,4.6,6.972121802,23.16899619,,
48,189,TOC,13.418,-26.738,257.368,8016,3.461,25.187,1076,,,189,TOC,-25.33,5.04,0.5,0.129,3.8,9.206462076,24.94052045,,
49,188,TOC,13.833,-25.936,242.431,7497,3.268,25.007,1058,,,188,TOC,-24.55,4.90,0.4,0.124,3.6,10.1482593,26.14933837,,
50,146,TOC,8.713,-26.769,186.89,5953,2.95,15.68,691,,,146,TOC,-25.48,4.65,0.5,0.127,4.3,8.049974803,25.21852388,,
51,164,TOC,11.379,-26.219,248.731,7949,3.498,23.664,1059,,,164,TOC,-24.81,5.07,0.6,0.143,3.9,7.873254497,21.49008499,,
52,190,TOC,12.888,-26.412,249.267,7856,2.814,22.311,978,,,190,TOC,-25.01,4.55,0.5,0.120,4.1,9.022912424,26.35582822,,
53,150,TOC,11.017,-27.331,251.939,7870,2.919,19.133,809,,,150,TOC,-25.93,4.63,0.6,0.121,4.8,7.699301144,27.23609394,,
54,171,TOC,12.357,-27.035,238.397,7455,3.247,22.906,979,,,171,TOC,-25.66,4.88,0.5,0.128,3.9,9.116498994,25.24412666,,
55,38.5,TOC,0.282,-27.451,161.578,5121,-1.274,3.07,127,,,38.5,TOC,-26.21,1.42,14.7,0.798,18.4,0.302870533,4.440944882,,
56,95,TOC,5.214,-28.616,242.389,7601,2.271,11.071,471,,,95,TOC,-27.24,4.13,1.2,0.152,7.8,3.772793054,22.14012739,,
57,Sorghum,,0.233,-13.763,383.363,12197,11,51.897,2300,,,Sorghum,0,-12.09,10.81,42.0,13.983,3.0,0.10506682,0.202608696,,
58,LOC,,6.976,-15.601,401.937,12816,-1.367,3.957,170,,,LOC,0,-13.92,1.35,1.5,0.041,35.5,2.993757803,82.07058824,,
59,HOC,,1.338,-29.317,299.728,9198,3.472,9.595,383,,,HOC,0,-27.86,5.05,5.7,0.515,11.1,0.800065232,6.98694517,,
