Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
38,85,,3.216,-26.944,199.956,7082,,,,,,85,0,-26.72,#DIV/0!,1.7,#DIV/0!,#DIV/0!,2.497599548,#DIV/0!,,
39,144,,5.39,-25.901,108.491,3870,,,,,,144,0,-25.67,#DIV/0!,0.6,#DIV/0!,#DIV/0!,7.660206718,#DIV/0!,,
40,151,,5.48,-26.018,127.932,4566,,,,,,151,0,-25.79,#DIV/0!,0.7,#DIV/0!,#DIV/0!,6.600963644,#DIV/0!,,
41,134,,4.208,-26.531,117.988,4204,,,,,,134,0,-26.30,#DIV/0!,0.8,#DIV/0!,#DIV/0!,5.505233111,#DIV/0!,,
42,113,,2.817,-26.359,84.666,3021,,,,,,113,0,-26.13,#DIV/0!,0.8,#DIV/0!,#DIV/0!,5.128599801,#DIV/0!,,
43,175,,7.528,-26.044,170.186,6085,,,,,,175,0,-25.81,#DIV/0!,0.6,#DIV/0!,#DIV/0!,6.804272802,#DIV/0!,,
44,187,,9.973,-25.015,170.013,6115,,,,,,187,0,-24.78,#DIV/0!,0.5,#DIV/0!,#DIV/0!,8.969991823,#DIV/0!,,
45,155,,5.248,-25.383,117.922,4231,,,,,,155,0,-25.15,#DIV/0!,0.6,#DIV/0!,#DIV/0!,6.822027889,#DIV/0!,,
46,Taipan,,0.185,-11.732,275.198,9866,,,,,,Taipan,0,-11.43,#DIV/0!,42.0,#DIV/0!,#DIV/0!,0.103131968,#DIV/0!,,
47,LOC,,6.972,-26.879,253.786,9155,,,,,,LOC,0,-26.65,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.188530857,#DIV/0!,,
48,HOC,,1.191,-27.85,244.398,8773,,,,,,HOC,0,-27.63,#DIV/0!,5.8,#DIV/0!,#DIV/0!,0.746665907,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,
