Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
39,67,,0.406,-25.313,318.915,10092,,,,,,67,0,-25.32,#DIV/0!,21.0,#DIV/0!,#DIV/0!,0.221264368,#DIV/0!,,
40,36,,0.7,-26.948,160.398,5084,,,,,,36,0,-26.99,#DIV/0!,5.7,#DIV/0!,#DIV/0!,0.757277734,#DIV/0!,,
41,104,,3.874,-95.595,1963.869,49987,,,,,,104,0,,#DIV/0!,22.9,#DIV/0!,#DIV/0!,0.426250825,#DIV/0!,,
42,177,,9.682,-24.973,201.013,6349,,,,,,177,0,-24.98,#DIV/0!,0.5,#DIV/0!,#DIV/0!,8.387305087,#DIV/0!,,
43,Taipan,,0.276,-12.171,478.674,14987,,,,,,Taipan,0,-11.92,#DIV/0!,49.5,#DIV/0!,#DIV/0!,0.101287783,#DIV/0!,,
44,LOC,,0.734,-26.229,32.587,984,,,,,,LOC,0,-26.26,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.102642276,#DIV/0!,,
45,HOC,,1.306,-27.976,295.406,9239,,,,,,HOC,0,-28.04,#DIV/0!,6.0,#DIV/0!,#DIV/0!,0.777465094,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
