"","Site","Latitude","Longitude","Type","Record","Length","References"
"1","Gilbert River Delta, QLD",-16.55,141.27,"Fluvial","Fluvial",85,"Nanson et al., 1991"
"2","Lily Ponds, NT",-14.32,132.47,"Fluvial","Fluvial",30,"Nott and Price, 1999"
"3","Waterfall Ck, NT",-13.42,132.42,"Fluvial","Fluvial",30,"Nott et al., 1996"
"4","Wangi Gorge, NT",-13.15,130.68,"Fluvial","Fluvial",30,"Nott et al., 1996"
"5","Lake Carpentaria GC2",-12.52,140.35,"lacustrine","Lake",36,"Torgersen et al., 1985, 1988"
"6","Lake Carpentaria MD32",-12.3,139.97,"lacustrine","Lake",130,"Chivas et al., 2001; Reeves et al., 2008; Devriendt, 2011"
"7","Cabbage Tree Creek, WA",-16.25,128.42,"Dune","Dune",37,"Wende et al., 1998"
"8","Carpentaria dune field",-13.7,136.2,"Dune","Dune",18,"Lees et al., 1990; Lees and Lu, 1991, 1992"
"9","Four Mile Billabong, NT",-13.85,136.78,"swamp","Pollen",10,"Shulmeister and Lees, 1995"
"10","Lynch's Crater, QLD",-17.37,145.7,"lacustrine","Pollen",234.75,"Kershaw, 1981; Turney et al., 2006; Kershaw et al., 2007"
"11","Lake Euramoo, QLD",-17.17,146.63,"lacustrine","Pollen",23,"Haberle, 2005"
"12","Lake Walala, NT",-15.68,137.03,"swamp","Pollen",10,"Prebble et al., 2005"
"13","Three Quarter Mile Lake, QLD",-12.5,143,"lacustrine","Pollen",8.3,"Luly et al., 2006"
"14","ODP820",-16.63,146.3,"marine","Pollen",250,"Moss and Kershaw, 2007"
"15","South Alligator River, NT",-12.45,132.47,"fluvial","Pollen",7,"Woodroffe et al., 1985"
"16","Badu, Torres Strait",-10.12,142.17,"swamp","Pollen",8.5,"Rowe, 2007"
"17","Mua, Torres Strait",-10.18,142.25,"swamp","Pollen",6,"Rowe, 2007"
"18","Argan Swamp",-10.05,142.06,"coastal","macro, sieved",5.52,"Rowe, 2006a"
"19","Badu 15",-10.06,142.09,"terrestrial","macro, sieved",4.19,"Rowe, 2006a, Rowe, 2006b, Rowe, 2007"
"20","Bar20",-10.1,142.12,"coastal","macro, sieved",2.83,"Rowe, 2006a, Rowe, 2007"
"21","Boigu Gawat Core 1",-10.1,142.14,"coastal","macro, sieved",4.57,"Rowe, 2006a, Rowe, 2007"
"22","Boigu Gawat Core 2",-10.1,142.14,"coastal","macro, sieved",13.82,"Rowe, 2007"
"23","Talita Kupai",-10.1,142.12,"coastal","macro, sieved",2.41,"Rowe, 2006a"
"24","Tiam Point",-10.12,142.18,"coastal","micro, pollen slide",7.7,"Rowe, 2006a, Rowe, 2007"
"25","Zurath Islet",-10.16,142.06,"coastal","macro, sieved",11.83,"Rowe, 2006a, Rowe, 2007"
"26","Waruid",-10.4,142.09,"coastal","macro, sieved",7.2,"Rowe, 2006a, Rowe, 2007"
"27","Quambie Lagoon",-12.5,131.17,"lacustrine","macro, sieved",6.54,"J. Stevenson, unpublished data"
"28","ODP Site 820",-16.6333,146.3,"marine","micro, pollen slide",100.5,"Moss and Kershaw, 2000"
"29","Lake Euramoo",-17.1599,145.6286,"lacustrine","macro, sieved",23.48,"Haberle, 2005"
"30","Lynchs Crater (holocene core)",-17.3667,145.7,"lacustrine","micro, pollen slide",7.39,"Kershaw, 1983"
"31","Big Willium",-12.649294,141.84699,"lacustrine","Lake",8,"Stevenson 2015"
"32","Isabella Swamp",-15.421267,144.948585,"swamp","Swamp",9.2,"Stephens and Head 1995"
"33","Girraween",-12.517316,131.080832,"lacustrine","Lake",22,"Rowe, 2019"
"34","KNI-51",-15.052575,128.431836,"speleothem","Speleothem",9,"Denniston (2013a)"
"35","Witherspoon Swamp",-17.49,145.24,"swamp","Swamp",7.9,"Moss 2012"
"36","Bromfield Swamp",-17.2244,145.3227,"swamp","Swamp",37,"Burrows 2016"
