Nature of Assistance,Contribution,"Names, Titles (if relevant) and Affiliations of Co-Contributors"
Intellectual support,Proposal writing,
,Data Analysis,
,Statistical support,
,Cartography and GIS,
,,
,Editorial  assistance,
Financial support,Fee offset/waiver,
,,
,Research costs,
,,
,Stipend,
,,
,Write-up Grant,
Data collection,Research assistance,
,,
,Interview design and transcription,
,,
,Boat drivers,
