"","Depth","median","d.0.5","Fraction","Percentage"
"923",83,22525,8.869,"sumdepth69",70.364235
"924",83,22525,8.869,"sumdepth_sand",11.2754
"925",83,22525,8.869,"sumdepth_sand_coarse",3.481261
"946",85,22802,11.725,"sumdepth2",19.238677
"947",85,22802,11.725,"sumdepth69",61.518779
"948",85,22802,11.725,"sumdepth_sand",19.242548
"949",85,22802,11.725,"sumdepth_sand_coarse",11.19028
"970",87,23045,5.975,"sumdepth2",22.623776
"971",87,23045,5.975,"sumdepth69",77.145186
"972",87,23045,5.975,"sumdepth_sand",0.231038
"973",87,23045,5.975,"sumdepth_sand_coarse",0
"1004",90,23432,7.721,"sumdepth2",19.102328
"1005",90,23432,7.721,"sumdepth69",71.853008
"1006",90,23432,7.721,"sumdepth_sand",9.044664
"1007",90,23432,7.721,"sumdepth_sand_coarse",3.148194
"1038",93,23592,10.416,"sumdepth2",16.294842
"1039",93,23592,10.416,"sumdepth69",65.065611
"1040",93,23592,10.416,"sumdepth_sand",18.639549
"1041",93,23592,10.416,"sumdepth_sand_coarse",0
"1102",99,23902,8.853,"sumdepth2",18.385068
"1103",99,23902,8.853,"sumdepth69",66.755466
"1104",99,23902,8.853,"sumdepth_sand",14.859468
"1105",99,23902,8.853,"sumdepth_sand_coarse",6.149298
"1166",105,24239,7.831,"sumdepth2",16.030014
"1167",105,24239,7.831,"sumdepth69",83.940368
"1168",105,24239,7.831,"sumdepth_sand",0.029616
"1169",105,24239,7.831,"sumdepth_sand_coarse",0
"1480",136,28393,2.727,"sumdepth2",42.503766
"1481",136,28393,2.727,"sumdepth69",56.203136
"1482",136,28393,2.727,"sumdepth_sand",1.293096
"1483",136,28393,2.727,"sumdepth_sand_coarse",0
"1534",141,29283,8.101,"sumdepth2",19.407634
"1535",141,29283,8.101,"sumdepth69",72.398078
"1536",141,29283,8.101,"sumdepth_sand",8.194286
"1537",141,29283,8.101,"sumdepth_sand_coarse",2.534362
"1638",151,30470,7.565,"sumdepth2",19.063128
"1639",151,30470,7.565,"sumdepth69",74.749478
"1640",151,30470,7.565,"sumdepth_sand",6.187394
"1641",151,30470,7.565,"sumdepth_sand_coarse",3.003801
"1752",162,31288,6.755,"sumdepth2",20.919502
"1753",162,31288,6.755,"sumdepth69",76.894377
"1754",162,31288,6.755,"sumdepth_sand",2.186125
"1755",162,31288,6.755,"sumdepth_sand_coarse",0.792714
"1856",172,32919,8.405,"sumdepth2",17.577577
"1857",172,32919,8.405,"sumdepth69",69.797224
"1858",172,32919,8.405,"sumdepth_sand",12.625196
"1859",172,32919,8.405,"sumdepth_sand_coarse",7.721058
