depth	min	max	median	mean
6	3949	4402	4176	4176
7	4046	4676	4316	4329
8	4094	5043	4446	4483
9	4129	5447	4575	4636
10	4154	5847	4703	4790
11	4183	6249	4833	4943
12	4303	6365	4992	5088
13	4358	6525	5155	5233
14	4405	6724	5302	5378
15	4429	7011	5439	5523
16	4469	7402	5573	5668
17	4649	7468	5738	5821
18	4769	7584	5896	5975
19	4850	7744	6069	6128
20	4915	7906	6266	6281
21	4993	8129	6406	6435
22	5174	8248	6579	6587
23	5362	8344	6727	6739
24	5535	8473	6874	6890
25	5636	8610	7027	7042
26	5751	8788	7164	7194
27	6017	8835	7349	7369
28	6194	8905	7540	7545
29	6349	8993	7752	7720
30	6456	9079	7941	7895
31	6563	9232	8128	8071
32	6873	9278	8277	8225
33	7072	9325	8425	8380
34	7258	9378	8601	8534
35	7382	9455	8776	8689
36	7552	9598	8921	8843
37	7943	9630	9049	8991
38	8338	9695	9178	9139
39	8728	9743	9305	9288
40	9112	9816	9435	9436
41	9393	9900	9567	9584
42	9623	10423	9911	9943
43	9676	11326	10230	10302
44	9721	12216	10540	10661
45	9761	13124	10856	11021
46	9797	14007	11167	11380
47	10058	14287	11559	11742
48	10212	14582	11996	12105
49	10332	14858	12412	12467
50	10465	15247	12799	12829
51	10610	15789	13161	13192
52	11352	16029	13640	13627
53	11854	16289	14112	14062
54	12184	16643	14589	14497
55	12510	17068	15073	14932
56	12703	17673	15478	15367
57	13313	17759	15861	15731
58	13721	17873	16211	16095
59	14166	18004	16574	16459
60	14390	18194	16994	16823
61	14595	18476	17390	17187
62	15489	18516	17652	17494
63	16386	18563	17898	17800
64	17253	18606	18160	18106
65	18003	18707	18427	18413
66	18298	19146	18714	18719
67	18438	19349	18867	18873
68	18519	19707	19002	19027
69	18561	20121	19122	19181
70	18588	20545	19241	19336
71	18627	20982	19371	19490
72	18741	21121	19538	19643
73	18839	21320	19711	19796
74	18901	21582	19869	19949
75	18948	21783	20008	20102
76	18994	22110	20143	20255
77	19130	22248	20301	20405
78	19225	22384	20452	20555
79	19306	22549	20601	20705
80	19365	22745	20760	20855
81	19416	23059	20904	21004
82	19618	23217	21063	21163
83	19742	23353	21226	21322
84	19880	23518	21416	21481
85	19958	23738	21573	21640
86	20014	24001	21721	21799
87	20182	24103	21893	21954
88	20293	24246	22077	22109
89	20419	24384	22250	22265
90	20511	24588	22414	22420
91	20638	24806	22566	22575
92	20795	24890	22719	22732
93	20923	25028	22875	22888
94	21031	25219	23032	23044
95	21148	25393	23191	23201
96	21234	25606	23357	23357
97	21414	25724	23497	23510
98	21532	25852	23652	23662
99	21681	25979	23798	23815
100	21784	26157	23948	23968
101	21890	26259	24111	24120
102	22097	26384	24274	24278
103	22229	26499	24462	24437
104	22357	26675	24641	24595
105	22452	26852	24803	24753
106	22545	27074	24935	24911
107	22778	27165	25100	25068
108	22960	27274	25253	25224
109	23110	27398	25403	25380
110	23211	27537	25546	25536
111	23334	27733	25721	25693
112	23506	27814	25893	25850
113	23762	27903	26062	26007
114	23938	28027	26222	26165
115	24119	28152	26399	26322
116	24256	28319	26572	26480
117	24480	28379	26726	26634
118	24681	28444	26862	26789
119	24861	28533	27033	26944
120	25053	28658	27201	27098
121	25181	28837	27373	27253
122	25386	28893	27524	27405
123	25603	28996	27658	27558
124	25793	29104	27814	27711
125	25883	29201	27982	27863
126	25999	29364	28147	28016
127	26391	29429	28287	28174
128	26721	29482	28440	28332
129	27005	29542	28579	28490
130	27228	29633	28740	28648
131	27354	29755	28901	28807
132	27772	29798	29027	28963
133	28165	29844	29156	29119
134	28525	29922	29294	29275
135	28809	30004	29446	29431
136	29007	30166	29600	29587
137	29105	30222	29686	29676
138	29199	30284	29771	29765
139	29266	30369	29854	29854
140	29315	30513	29944	29942
141	29370	30666	30025	30031
142	29490	30695	30109	30113
143	29606	30735	30196	30194
144	29690	30794	30283	30276
145	29756	30890	30379	30358
146	29801	31005	30459	30439
147	29890	31048	30518	30500
148	29951	31092	30573	30561
149	30007	31132	30639	30622
150	30063	31207	30708	30682
151	30099	31279	30762	30743
152	30217	31323	30822	30806
153	30312	31365	30881	30868
154	30380	31417	30946	30931
155	30444	31472	31013	30994
156	30481	31539	31076	31056
157	30642	31580	31118	31114
158	30776	31631	31167	31171
159	30889	31682	31214	31228
160	30987	31726	31263	31286
