depth	min	max	median	mean
0	1095	3961	2981	2857
0.1	1158	3962	3000	2880
0.2	1221	3966	3021	2902
0.3	1281	3972	3040	2925
0.4	1344	3977	3062	2948
0.5	1399	3982	3079	2970
0.6	1455	3987	3099	2993
0.7	1514	3992	3119	3016
0.8	1573	3996	3138	3038
0.9	1633	4000	3157	3061
1	1694	4002	3175	3084
1.1	1756	4005	3194	3106
1.2	1818	4008	3213	3129
1.3	1879	4011	3233	3152
1.4	1935	4014	3253	3175
1.5	1992	4016	3273	3197
1.6	2050	4018	3293	3220
1.7	2107	4020	3314	3243
1.8	2160	4023	3332	3265
1.9	2217	4025	3353	3288
2	2274	4028	3372	3311
2.1	2330	4035	3393	3333
2.2	2385	4041	3411	3356
2.3	2439	4044	3427	3379
2.4	2491	4046	3446	3401
2.5	2545	4054	3469	3424
2.6	2588	4058	3488	3447
2.7	2628	4061	3508	3469
2.8	2679	4063	3531	3492
2.9	2732	4069	3549	3515
3	2771	4074	3568	3538
3.1	2830	4079	3592	3560
3.2	2884	4085	3612	3583
3.3	2938	4091	3632	3606
3.4	2992	4099	3653	3628
3.5	3050	4105	3673	3651
3.6	3088	4110	3694	3674
3.7	3131	4120	3718	3696
3.8	3180	4127	3738	3719
3.9	3209	4136	3759	3742
4	3256	4147	3783	3764
4.1	3286	4159	3805	3787
4.2	3320	4171	3828	3810
4.3	3344	4182	3851	3833
4.4	3364	4198	3874	3855
4.5	3386	4213	3899	3878
4.6	3415	4229	3923	3901
4.7	3430	4245	3945	3923
4.8	3453	4264	3968	3946
4.9	3473	4291	3991	3969
5	3492	4312	4015	3991
5.1	3537	4319	4031	4011
5.2	3605	4325	4049	4030
5.3	3659	4331	4066	4050
5.4	3717	4338	4081	4069
5.5	3765	4346	4099	4088
5.6	3812	4355	4115	4108
5.7	3856	4366	4133	4127
5.8	3888	4378	4150	4147
5.9	3921	4391	4169	4166
7.8	4116	5252	4491	4535
7.9	4123	5310	4506	4555
8	4127	5372	4523	4574
8.1	4130	5430	4539	4593
8.2	4135	5489	4556	4613
8.3	4137	5550	4572	4632
8.4	4140	5612	4589	4652
8.5	4144	5674	4606	4671
8.6	4145	5730	4623	4691
8.7	4155	5783	4640	4710
8.8	4157	5844	4657	4729
8.9	4159	5904	4674	4749
9	4162	5962	4690	4768
9.1	4164	6019	4706	4788
9.2	4167	6078	4720	4807
9.3	4170	6136	4738	4827
9.4	4173	6194	4753	4846
9.5	4176	6253	4769	4865
9.6	4178	6313	4785	4885
9.7	4180	6372	4803	4904
9.8	4184	6434	4820	4924
9.9	4187	6493	4834	4943
10	4191	6550	4851	4963
10.1	4208	6573	4867	4977
10.2	4228	6589	4882	4992
10.3	4237	6605	4898	5006
10.4	4255	6622	4912	5021
10.5	4264	6629	4925	5035
10.6	4274	6638	4939	5050
10.7	4288	6657	4955	5065
10.8	4299	6678	4972	5079
10.9	4311	6694	4989	5094
11	4321	6704	5006	5108
11.1	4329	6711	5020	5123
11.2	4337	6720	5036	5137
11.3	4344	6730	5054	5152
11.4	4353	6738	5067	5167
11.5	4361	6744	5084	5181
11.6	4370	6749	5097	5196
11.7	4376	6761	5115	5210
11.8	4383	6772	5134	5225
11.9	4391	6775	5152	5239
12	4395	6786	5171	5254
12.1	4404	6798	5185	5269
12.2	4410	6803	5202	5283
12.3	4414	6807	5220	5298
12.4	4421	6820	5233	5312
12.5	4427	6834	5252	5327
12.6	4433	6848	5269	5341
12.7	4439	6859	5285	5356
12.8	4442	6871	5302	5371
12.9	4445	6886	5318	5385
13	4447	6900	5335	5400
13.1	4451	6921	5351	5414
13.2	4458	6941	5368	5429
13.3	4466	6952	5386	5443
13.4	4472	6961	5402	5458
13.5	4479	6978	5419	5473
13.6	4484	6986	5434	5487
13.7	4486	7006	5452	5502
13.8	4491	7030	5468	5516
13.9	4499	7042	5480	5531
14	4504	7065	5497	5545
14.1	4510	7080	5511	5560
14.2	4513	7086	5523	5574
14.3	4518	7112	5542	5589
14.4	4520	7129	5560	5604
14.5	4524	7134	5570	5618
14.6	4529	7156	5581	5633
14.7	4534	7175	5592	5647
14.8	4538	7195	5607	5662
14.9	4544	7219	5623	5676
15	4550	7236	5637	5691
15.1	4579	7240	5650	5706
15.2	4607	7249	5661	5722
15.3	4627	7254	5676	5737
15.4	4653	7260	5691	5752
15.5	4676	7270	5704	5767
15.6	4705	7286	5721	5783
15.7	4731	7299	5735	5798
15.8	4747	7311	5746	5813
15.9	4769	7319	5766	5828
16	4791	7324	5781	5843
16.1	4806	7329	5795	5859
16.2	4819	7333	5808	5874
16.3	4838	7349	5829	5889
16.4	4851	7361	5841	5904
16.5	4865	7383	5857	5920
16.6	4878	7388	5872	5935
16.7	4889	7394	5884	5950
16.8	4898	7403	5903	5965
16.9	4912	7407	5917	5981
17	4932	7432	5931	5996
17.1	4951	7447	5950	6011
17.2	4963	7464	5966	6026
17.3	4971	7480	5981	6042
17.4	4980	7494	5999	6057
17.5	4994	7506	6017	6072
17.6	5006	7514	6034	6087
17.7	5019	7519	6055	6103
17.8	5032	7527	6070	6118
17.9	5047	7549	6083	6133
18	5060	7564	6099	6148
18.1	5068	7579	6111	6164
18.2	5078	7592	6128	6179
18.3	5096	7612	6146	6194
18.4	5104	7626	6162	6209
21	5417	8061	6556	6599
21.1	5426	8073	6571	6614
21.2	5439	8084	6587	6628
21.3	5448	8091	6602	6643
21.4	5460	8102	6619	6658
21.5	5475	8115	6635	6672
21.6	5482	8128	6654	6687
21.7	5488	8136	6669	6701
21.8	5496	8138	6682	6716
21.9	5507	8145	6693	6730
22	5517	8150	6712	6745
22.1	5525	8169	6724	6760
22.2	5534	8188	6741	6774
22.3	5537	8200	6760	6789
22.4	5542	8218	6777	6803
22.5	5551	8237	6788	6818
22.6	5563	8247	6801	6833
22.7	5575	8259	6818	6847
22.8	5586	8275	6835	6862
22.9	5595	8282	6849	6876
23	5602	8295	6866	6891
23.1	5608	8311	6888	6906
23.2	5614	8321	6905	6920
23.3	5623	8332	6920	6935
23.4	5630	8348	6936	6949
23.5	5640	8370	6949	6964
23.6	5645	8400	6962	6979
23.7	5650	8424	6979	6993
23.8	5655	8445	6990	7008
23.9	5661	8453	7002	7022
24	5668	8470	7017	7037
24.1	5676	8488	7035	7052
24.2	5689	8499	7049	7066
24.3	5695	8519	7060	7081
24.4	5700	8532	7072	7095
24.5	5705	8555	7086	7110
24.6	5711	8573	7103	7125
24.7	5719	8590	7115	7139
24.8	5725	8601	7133	7154
24.9	5737	8620	7151	7168
25	5745	8630	7166	7183
25.1	5765	8639	7179	7196
25.2	5790	8645	7192	7210
25.3	5808	8649	7207	7223
25.4	5820	8654	7221	7237
25.5	5839	8658	7235	7250
25.6	5849	8663	7248	7264
25.7	5866	8667	7261	7277
25.8	5879	8671	7275	7291
25.9	5898	8676	7288	7304
26	5916	8684	7302	7318
26.1	5930	8688	7318	7331
26.2	5950	8699	7337	7345
26.3	5976	8708	7357	7358
26.4	5997	8712	7370	7372
26.5	6021	8722	7388	7385
26.6	6026	8732	7405	7399
26.7	6035	8743	7420	7412
26.8	6048	8752	7437	7426
26.9	6062	8762	7452	7439
27	6073	8770	7464	7453
27.1	6094	8772	7479	7466
27.2	6111	8778	7494	7479
27.3	6124	8786	7510	7493
27.4	6140	8795	7520	7506
27.5	6153	8802	7534	7520
27.6	6160	8812	7547	7533
27.7	6165	8820	7560	7547
27.8	6171	8832	7575	7560
27.9	6178	8840	7590	7574
28	6186	8850	7606	7587
28.1	6193	8860	7623	7601
28.2	6200	8867	7636	7614
28.3	6216	8871	7649	7628
