depth	min	max	median	mean
3	2226	4729	4370	4147
4	3029	4752	4457	4313
5	3817	4787	4543	4478
6	4407	4840	4649	4644
7	4501	5461	4764	4809
8	4571	6279	4844	4975
9	4604	6317	4877	5009
10	4635	6344	4912	5043
11	4671	6391	4947	5077
12	4693	6411	4982	5112
13	4708	6446	5019	5146
14	4835	6556	5208	5325
15	4895	6673	5420	5504
16	4951	6751	5628	5682
17	4990	6863	5841	5861
18	5035	7022	6062	6040
19	5378	7055	6237	6219
20	5657	7114	6410	6398
21	5870	7176	6603	6577
22	6034	7250	6799	6756
23	6141	7375	6996	6935
24	6244	7386	7046	6987
25	6358	7398	7093	7038
26	6456	7414	7140	7090
27	6578	7432	7186	7142
28	6646	7461	7237	7194
29	6824	7472	7277	7247
30	6997	7493	7317	7301
31	7168	7514	7358	7354
32	7289	7551	7406	7408
33	7335	7611	7458	7461
34	7399	7790	7573	7577
35	7434	8031	7678	7692
36	7454	8266	7786	7808
37	7471	8516	7893	7923
38	7490	8778	8001	8039
39	7707	8857	8127	8171
40	7912	8994	8256	8304
41	8104	9154	8377	8437
42	8266	9328	8498	8569
43	8399	9531	8617	8702
44	8664	9933	9005	9074
45	8746	10466	9341	9445
46	8818	11242	9675	9817
47	8876	12123	9985	10189
48	8933	12997	10303	10561
49	9235	13261	10683	10905
50	9378	13708	11125	11249
51	9480	14386	11534	11593
52	9595	14954	11871	11937
53	9705	15620	12192	12280
54	10281	15766	12609	12699
55	10672	15959	13044	13119
56	11059	16190	13491	13538
57	11335	16642	13892	13957
58	11559	17444	14309	14376
59	12246	17569	14696	14777
60	12794	17728	15157	15178
61	13009	17876	15637	15579
62	13157	18062	16028	15980
63	13391	18361	16424	16381
64	14568	18426	16897	16874
65	15738	18488	17379	17368
66	16899	18562	17875	17861
67	17980	18673	18365	18355
68	18419	19330	18837	18848
69	18706	19581	19168	19162
70	18856	19977	19510	19475
71	18969	20456	19821	19788
72	19053	20954	20138	20102
73	19157	21457	20460	20415
74	19652	21544	20712	20675
75	20130	21645	20952	20935
76	20509	21786	21204	21196
77	20820	22049	21455	21456
78	20992	22499	21706	21716
79	21163	22585	21848	21854
80	21293	22719	21992	21991
81	21393	22867	22146	22129
82	21442	23030	22281	22267
83	21507	23258	22409	22404
84	21799	23302	22561	22560
85	22006	23359	22721	22716
86	22153	23450	22885	22871
87	22269	23573	23061	23027
88	22371	23751	23227	23183
89	22742	23807	23347	23322
90	23025	23890	23475	23462
91	23154	24038	23614	23602
92	23211	24312	23737	23741
93	23278	24717	23846	23881
94	23356	24797	23963	23993
95	23414	24933	24071	24106
96	23472	25188	24174	24219
97	23507	25471	24268	24332
98	23542	25771	24359	24445
99	23627	25904	24471	24554
100	23700	26028	24586	24664
101	23761	26211	24692	24774
102	23817	26447	24805	24883
103	23856	26663	24910	24993
104	23991	26740	25093	25162
105	24090	26824	25274	25331
106	24169	26947	25466	25501
107	24230	27151	25649	25670
108	24290	27369	25815	25839
109	24912	27423	26124	26149
110	25411	27491	26458	26460
111	25776	27569	26800	26770
112	26031	27673	27166	27080
113	26171	27870	27520	27391
114	26284	27906	27596	27457
115	26396	27948	27654	27523
116	26507	28015	27710	27589
117	26614	28120	27763	27655
118	26683	28233	27809	27721
119	26787	28262	27855	27768
120	26868	28307	27896	27814
121	26960	28349	27935	27861
122	27013	28403	27971	27908
123	27051	28464	28012	27954
124	27151	28502	28050	28001
125	27225	28530	28094	28048
126	27296	28576	28135	28095
127	27367	28618	28177	28142
128	27439	28677	28218	28189
129	27531	28704	28268	28238
130	27636	28727	28314	28287
131	27749	28765	28362	28337
132	27792	28804	28411	28386
133	27858	28860	28459	28435
134	27980	28881	28498	28484
135	28083	28915	28537	28533
136	28177	28955	28583	28581
137	28249	29011	28631	28630
138	28295	29086	28678	28679
139	28438	29190	28802	28805
140	28534	29420	28926	28931
141	28584	29697	29046	29056
142	28633	29959	29165	29182
143	28674	30240	29275	29308
144	28923	30313	29404	29439
145	29149	30359	29522	29570
146	29351	30440	29627	29701
147	29493	30530	29737	29832
148	29575	30633	29901	29962
149	29701	30664	30006	30058
150	29775	30696	30129	30154
151	29830	30768	30245	30251
152	29867	30874	30344	30347
153	29906	31017	30442	30443
154	30016	31043	30521	30524
155	30087	31096	30604	30604
156	30159	31140	30697	30685
157	30197	31208	30785	30766
158	30240	31311	30872	30847
159	30432	31342	30948	30931
160	30610	31377	31022	31014
161	30777	31423	31099	31098
162	30892	31477	31177	31181
