
Boundary()	
@depthModel	27928	24979	28251	23677	
@depthModel	27777	24812	28210.5	23604	
@depthModel	27633.5	24617	28152.5	23537	
@depthModel	27446	24388.5	28101.5	23474.5	
@depthModel	27271	24203	28045.5	23415.5	
@depthModel	27077.5	24033.5	27981	23365	
@depthModel	26891	23814.5	27929.5	23327	
@depthModel	26615.5	23694	27862.5	23286	
@depthModel	26473.5	23509	27807.5	23251.5	
@depthModel	26272.5	23413.5	27741.5	23216.5	
@depthModel	26110	23356	27665.5	23180	
@depthModel	26006.5	23321.5	27587	23146.5	
@depthModel	25891.5	23280	27530.5	23115.5	
@depthModel	25803	23255	27449.5	23100.5	
@depthModel	25662	23225	27362	23072.5	
@depthModel	25543	23193	27278	23057	
@depthModel	25392	23157.5	27209	23038	
@depthModel	25276	23134.5	27105	23023.5	
@depthModel	25145.5	23112	27044	23008.5	
@depthModel	25039.5	23092.5	26956.5	22997.5	
@depthModel	24896	23071.5	26858.5	22985	
@depthModel	24817.5	23059	26752	22977.5	
@depthModel	24681	23047.5	26633	22965.5	
@depthModel	24521.5	23033.5	26514.5	22958.5	
@depthModel	24425	23020	26423	22950.5	
@depthModel	24266.5	23011	26288	22945.5	
@depthModel	24162	23004	26167.5	22936	
@depthModel	24041	22996.5	26021.5	22930	
@depthModel	23914	22990	25869.5	22921.5	
@depthModel	23787	22987	25681.5	22917	
@depthModel	23666.5	22984.5	25491.5	22911	
@depthModel	23552	22985	25247.5	22903.5	
@depthModel	23450	22990	25019	22898.5	
@depthModel	23390.5	23014	24661.5	22896	
@depthModel	23381.5	23061.5	24267	22892	
@depthModel	23379	23081.5	23744	22895	
@depthModel	23375	23079.5	23382.5	22982	
@depthModel	23370	23079	23379.5	22976	
@depthModel	23364.5	23077	23378.5	22975.5	
@depthModel	23357.5	23077.5	23378	22975	
@depthModel	23351.5	23076.5	23377	22974	
@depthModel	23345.5	23076.5	23376	22973	
@depthModel	23340	23076.5	23375	22970	
