Sample Name,Result 0.01µm-7.00µm,Result 7.00µm-63.00µm,Result 63.00µm-1000.00µm,Measurement date and time
126 - Average,44.11,40.321,14.035,"Friday, 4 October 2019 11:46:26 AM"
38,11.793,67.999,20.208,"Friday, 4 October 2019 11:55:34 AM"
38,12.095,69.406,18.499,"Friday, 4 October 2019 11:56:14 AM"
38,12.158,70.017,17.825,"Friday, 4 October 2019 11:56:55 AM"
38 - Average,12.015,69.141,18.844,"Friday, 4 October 2019 11:55:34 AM"
27,7.638,63.026,29.336,"Friday, 4 October 2019 12:01:22 PM"
27,7.689,63.509,28.802,"Friday, 4 October 2019 12:02:02 PM"
27,7.621,64.098,28.281,"Friday, 4 October 2019 12:02:43 PM"
27 - Average,7.649,63.544,28.807,"Friday, 4 October 2019 12:01:22 PM"
117,46.529,42.995,10.476,"Friday, 4 October 2019 12:07:23 PM"
117,47.082,43.158,9.76,"Friday, 4 October 2019 12:08:04 PM"
117,48.297,43.502,8.201,"Friday, 4 October 2019 12:08:44 PM"
117 - Average,47.303,43.218,9.479,"Friday, 4 October 2019 12:07:23 PM"
58,14.565,63.765,21.67,"Friday, 4 October 2019 12:13:37 PM"
58,14.578,64.287,21.135,"Friday, 4 October 2019 12:14:17 PM"
58,14.566,64.692,20.741,"Friday, 4 October 2019 12:14:58 PM"
58 - Average,14.57,64.248,21.182,"Friday, 4 October 2019 12:13:37 PM"
87,35.859,38.314,25.827,"Friday, 4 October 2019 12:18:44 PM"
87,38.034,38.052,23.914,"Friday, 4 October 2019 12:19:25 PM"
87,38.311,38.591,23.099,"Friday, 4 October 2019 12:20:06 PM"
87 - Average,37.401,38.319,24.28,"Friday, 4 October 2019 12:18:44 PM"
85,38.786,40.24,20.974,"Friday, 4 October 2019 12:23:58 PM"
85,39.122,39.916,20.962,"Friday, 4 October 2019 12:24:39 PM"
85,40.018,41.406,18.576,"Friday, 4 October 2019 12:25:20 PM"
85 - Average,39.309,40.521,20.171,"Friday, 4 October 2019 12:23:58 PM"
72,40.772,49.093,10.135,"Friday, 4 October 2019 1:44:36 PM"
72,40.71,52.093,7.196,"Friday, 4 October 2019 1:45:17 PM"
72,40.8,52.286,6.915,"Friday, 4 October 2019 1:45:58 PM"
72 - Average,40.761,51.157,8.082,"Friday, 4 October 2019 1:44:36 PM"
51,14.883,61.972,23.145,"Friday, 4 October 2019 1:49:55 PM"
