depth	min	max	median	mean
0	-66	2170	120	242
0.1	24	2216	205	324
0.2	114	2262	290	406
0.3	204	2308	376	489
0.4	292	2353	460	571
0.5	379	2399	546	653
0.6	467	2445	631	735
0.7	552	2490	716	818
0.8	638	2536	801	900
0.9	722	2582	886	982
1	807	2628	971	1064
1.1	893	2673	1057	1147
1.2	978	2719	1142	1229
1.3	1062	2765	1226	1311
1.4	1147	2811	1313	1393
1.5	1231	2856	1397	1476
1.6	1316	2902	1482	1558
1.7	1400	2948	1567	1640
1.8	1485	2994	1652	1722
1.9	1569	3039	1738	1805
2	1653	3083	1823	1887
2.1	1737	3128	1910	1969
2.2	1818	3172	1995	2051
2.3	1902	3216	2080	2133
2.4	1986	3257	2165	2216
2.5	2071	3298	2249	2298
2.6	2156	3342	2335	2380
2.7	2239	3385	2419	2462
2.8	2322	3428	2504	2545
2.9	2406	3469	2587	2627
3	2489	3509	2673	2709
3.1	2573	3549	2757	2791
3.2	2655	3589	2840	2874
3.3	2738	3630	2924	2956
3.4	2821	3670	3008	3038
3.5	2904	3712	3093	3120
3.6	2984	3761	3177	3203
3.7	3067	3823	3261	3285
3.8	3150	3882	3345	3367
3.9	3232	3928	3428	3449
4	3315	3973	3512	3532
4.1	3397	4018	3596	3614
4.2	3480	4082	3679	3696
4.3	3561	4133	3761	3778
4.4	3636	4184	3846	3860
4.5	3711	4241	3930	3943
4.6	3787	4311	4012	4025
4.7	3867	4379	4095	4107
4.8	3946	4460	4180	4189
4.9	4022	4549	4261	4272
5	4095	4636	4344	4354
5.1	4107	4641	4349	4360
5.2	4120	4644	4354	4367
5.3	4131	4646	4360	4373
5.4	4143	4647	4367	4379
5.5	4154	4648	4372	4386
5.6	4166	4651	4378	4392
5.7	4175	4655	4384	4399
5.8	4189	4661	4391	4405
5.9	4199	4664	4397	4411
6	4208	4667	4405	4418
6.1	4216	4674	4412	4424
6.2	4222	4683	4418	4431
6.3	4229	4686	4424	4437
6.4	4234	4692	4431	4443
6.5	4239	4695	4438	4450
6.6	4246	4699	4445	4456
6.7	4251	4705	4452	4463
6.8	4255	4710	4459	4469
6.9	4259	4717	4467	4475
7	4264	4726	4473	4482
7.1	4268	4732	4480	4488
7.2	4272	4742	4487	4495
7.3	4277	4749	4494	4501
7.4	4281	4760	4501	4507
7.5	4287	4769	4508	4514
7.6	4292	4778	4515	4520
