depth	min	max	median	mean
6	4579	4955	4811	4778
7	4648	5148	4885	4885
8	4688	5417	4969	4991
9	4718	5709	5052	5098
10	4743	6013	5139	5204
11	4761	6328	5223	5310
12	4854	6401	5343	5415
13	4909	6504	5462	5520
14	4958	6606	5564	5624
15	4992	6768	5668	5729
16	5030	6966	5766	5834
17	5136	7059	5872	5937
18	5213	7130	5998	6041
19	5271	7244	6103	6145
20	5313	7380	6205	6249
21	5357	7585	6304	6353
22	5484	7633	6408	6457
23	5581	7690	6531	6562
24	5655	7752	6645	6666
25	5705	7833	6757	6771
26	5776	7974	6863	6875
27	5913	8022	6972	6977
28	6030	8076	7085	7079
29	6095	8147	7197	7181
30	6186	8242	7300	7283
31	6258	8366	7407	7385
32	6464	8405	7500	7485
33	6620	8450	7597	7586
34	6736	8500	7710	7686
35	6821	8560	7828	7786
36	6899	8642	7942	7887
37	7130	8671	8033	7992
38	7334	8705	8135	8098
39	7475	8757	8240	8203
40	7599	8821	8351	8309
41	7686	8911	8464	8415
42	8002	8954	8555	8530
43	8303	9002	8644	8645
44	8549	9067	8732	8761
45	8652	9186	8852	8876
46	8694	9414	8960	8991
47	8775	9541	9094	9113
48	8827	9734	9220	9235
49	8864	9982	9332	9357
50	8897	10247	9436	9479
51	8919	10533	9539	9601
52	9039	10615	9667	9716
53	9124	10703	9797	9832
54	9176	10800	9931	9948
55	9217	10945	10045	10064
56	9250	11143	10163	10180
57	9404	11186	10274	10291
58	9524	11230	10401	10402
59	9620	11315	10532	10513
60	9677	11415	10650	10625
61	9722	11567	10773	10736
62	10000	11605	10894	10858
63	10226	11638	11014	10981
64	10382	11681	11137	11103
65	10497	11760	11265	11225
66	10597	11871	11392	11348
67	10923	11912	11486	11469
68	11238	11964	11580	11589
69	11469	12050	11697	11710
70	11543	12224	11820	11831
71	11579	12470	11929	11952
72	11649	12621	12039	12058
73	11692	12783	12136	12164
74	11727	13021	12222	12271
75	11760	13322	12310	12377
76	11788	13621	12397	12483
77	11878	13717	12505	12588
78	11926	13809	12613	12692
79	11958	13971	12722	12796
80	12007	14173	12822	12901
81	12046	14416	12921	13005
82	12127	14508	13029	13110
83	12191	14588	13148	13216
84	12254	14708	13267	13321
85	12309	14838	13374	13426
86	12350	14994	13477	13532
87	12443	15048	13583	13634
88	12512	15118	13691	13735
89	12575	15229	13799	13837
90	12636	15374	13902	13938
91	12697	15554	14009	14040
92	12808	15627	14113	14145
93	12903	15693	14226	14250
94	12978	15777	14344	14355
95	13028	15896	14453	14460
96	13091	16056	14562	14565
97	13220	16123	14659	14667
98	13298	16219	14764	14769
99	13379	16342	14876	14870
100	13453	16469	14987	14972
101	13553	16618	15084	15073
102	13677	16687	15189	15177
103	13789	16745	15302	15281
104	13878	16846	15410	15385
105	13957	16964	15518	15489
106	14034	17088	15616	15594
107	14138	17168	15730	15701
108	14239	17247	15835	15808
109	14348	17344	15953	15916
110	14424	17449	16062	16023
111	14491	17589	16172	16131
112	14650	17646	16274	16238
113	14829	17715	16390	16345
114	14939	17814	16492	16452
115	15036	17928	16596	16559
116	15107	18045	16703	16666
117	15246	18103	16810	16768
118	15404	18181	16911	16869
119	15472	18259	17012	16971
120	15571	18335	17106	17072
121	15660	18442	17213	17174
122	15819	18473	17313	17276
123	15996	18512	17412	17377
124	16129	18571	17519	17479
125	16215	18638	17630	17581
126	16323	18729	17734	17683
127	16511	18784	17839	17789
128	16643	18828	17952	17895
129	16815	18896	18056	18001
130	16929	18957	18168	18107
131	17007	19065	18277	18213
132	17204	19089	18375	18316
133	17398	19120	18477	18418
134	17543	19165	18582	18521
135	17668	19219	18692	18624
136	17795	19307	18798	18727
137	18065	19342	18875	18824
138	18323	19374	18955	18922
139	18553	19423	19034	19020
140	18761	19479	19123	19117
141	18873	19570	19216	19215
142	18987	19630	19308	19306
143	19088	19706	19398	19397
144	19143	19818	19485	19488
145	19191	19971	19574	19579
146	19221	20147	19662	19670
