depth	min	max	median	mean
0	2911	4736	4273	4163
1	3271	4750	4353	4266
2	3643	4765	4431	4369
3	3950	4790	4506	4472
4	4245	4819	4588	4575
5	4413	4887	4684	4677
6	4587	4954	4799	4777
7	4652	5117	4876	4876
8	4694	5362	4950	4975
9	4726	5636	5031	5074
10	4746	5910	5115	5173
11	4827	5998	5221	5278
12	4876	6139	5328	5384
13	4905	6312	5430	5489
14	4942	6532	5534	5594
15	4973	6772	5631	5699
16	5069	6856	5740	5800
17	5142	6933	5854	5901
18	5195	7032	5962	6003
19	5240	7168	6062	6104
20	5278	7334	6167	6205
21	5420	7390	6280	6320
22	5536	7465	6413	6434
23	5603	7541	6541	6548
24	5658	7633	6667	6663
25	5703	7807	6796	6777
26	5835	7862	6904	6878
27	5919	7917	6999	6979
28	6015	7997	7109	7080
29	6100	8075	7229	7182
30	6176	8183	7334	7283
31	6365	8222	7432	7383
32	6518	8273	7528	7482
33	6621	8333	7626	7582
34	6710	8411	7736	7682
35	6776	8523	7840	7782
36	7008	8556	7932	7888
37	7202	8592	8029	7994
38	7334	8639	8136	8100
39	7428	8711	8250	8206
40	7541	8809	8371	8312
41	7834	8844	8462	8424
42	8142	8900	8548	8537
43	8414	8963	8636	8650
44	8564	9064	8738	8763
45	8627	9231	8855	8876
46	8713	9366	8976	8995
47	8757	9570	9092	9115
48	8784	9830	9205	9234
49	8813	10110	9310	9353
50	8845	10409	9417	9472
51	8968	10477	9536	9587
52	9052	10569	9661	9701
53	9107	10679	9794	9816
54	9157	10825	9909	9930
55	9201	10996	10021	10045
56	9360	11042	10149	10163
57	9463	11094	10280	10281
58	9534	11203	10418	10398
59	9591	11301	10552	10516
60	9637	11426	10679	10634
61	9888	11474	10793	10759
62	10129	11519	10918	10883
63	10309	11580	11041	11008
64	10427	11657	11168	11133
65	10532	11777	11296	11257
66	10843	11817	11386	11373
67	11137	11886	11478	11490
68	11365	11988	11587	11606
69	11446	12126	11710	11722
70	11486	12349	11811	11838
71	11557	12464	11909	11936
72	11599	12631	12008	12034
73	11632	12822	12101	12132
74	11664	13046	12188	12230
75	11690	13306	12273	12328
76	11775	13405	12377	12434
77	11838	13532	12487	12539
78	11886	13694	12595	12644
79	11922	13909	12689	12750
80	11956	14124	12786	12855
81	12051	14219	12880	12953
82	12121	14320	12976	13052
83	12177	14452	13079	13150
84	12222	14604	13178	13248
85	12264	14810	13269	13347
86	12355	14891	13369	13444
87	12439	14961	13483	13541
88	12502	15049	13578	13638
89	12566	15163	13683	13735
90	12621	15282	13780	13832
91	12720	15365	13895	13935
92	12812	15480	14001	14039
93	12888	15580	14108	14142
94	12942	15707	14226	14245
95	13006	15840	14330	14348
96	13136	15903	14434	14454
97	13233	15997	14536	14561
98	13316	16125	14644	14667
99	13396	16258	14753	14773
100	13486	16427	14860	14880
101	13606	16483	14965	14979
102	13694	16543	15072	15079
103	13783	16638	15181	15178
104	13867	16751	15283	15277
105	13919	16870	15395	15377
106	14010	16931	15487	15475
107	14089	17005	15585	15573
108	14146	17088	15675	15671
109	14217	17169	15780	15769
110	14282	17271	15882	15867
111	14459	17348	15995	15976
112	14612	17432	16101	16085
113	14714	17537	16215	16195
114	14809	17643	16321	16304
115	14878	17774	16434	16413
116	15036	17834	16534	16517
117	15172	17890	16638	16620
118	15261	17972	16751	16723
119	15342	18060	16857	16827
120	15436	18180	16960	16930
121	15584	18222	17068	17040
122	15733	18288	17187	17149
123	15852	18343	17302	17259
124	15938	18431	17423	17369
125	16031	18550	17544	17478
126	16216	18603	17648	17583
127	16381	18650	17746	17688
128	16518	18702	17863	17792
129	16646	18759	17975	17897
130	16761	18838	18083	18002
131	16952	18882	18185	18110
132	17138	18916	18289	18217
133	17258	18961	18399	18325
134	17373	19029	18509	18433
135	17479	19122	18629	18541
136	17818	19149	18717	18652
137	18138	19182	18803	18764
138	18441	19226	18892	18875
139	18678	19292	18990	18987
140	18784	19421	19097	19098
141	18888	19475	19187	19185
142	18961	19551	19275	19272
143	19017	19666	19367	19358
144	19056	19801	19453	19445
145	19097	19960	19536	19532
146	19264	19999	19623	19624
147	19395	20056	19713	19716
148	19485	20136	19805	19808
149	19538	20257	19897	19900
150	19583	20430	19983	19991
151	19651	20585	20079	20093
152	19708	20793	20174	20195
153	19747	21055	20257	20297
154	19792	21347	20343	20399
155	19817	21638	20424	20501
156	19903	21755	20532	20604
157	19960	21878	20638	20708
158	20001	22061	20738	20811
159	20040	22279	20831	20914
160	20082	22513	20917	21018
161	20165	22632	21020	21120
162	20237	22737	21127	21222
163	20292	22872	21224	21324
164	20336	23062	21320	21426
165	20378	23302	21413	21528
166	20455	23415	21522	21628
167	20500	23524	21638	21728
168	20554	23668	21735	21829
169	20602	23844	21831	21929
170	20650	23995	21924	22029
171	20745	24127	22030	22133
172	20820	24247	22139	22237
