"labID","age","error","depth"
"OZY132","12,050",40,146
"OZY131","4,555",30,6
"OZY758","10,940",110,82
"OZX765U2","4,180",140,6
"OZX765U1","4,120",100,6
"OZX769","16,270",70,146
"OZX768","15,560",90,137
"OZX767","10,045",50,67
"OZX766","7,875",40,43
"OZX765","4,285",30,6
"OZY419","6,150",80,42
