"","Identifier","Ampl..44","d13C","d15N","X.C.1","X.N.1","C.N"
"210","65",16123,-26.19,-0.44,38.1,1.103,34.5
"211","67",21321,-25.12,1.55,47.8,1.569,30.5
"212","69",20215,-26.67,4.83,33.1,1.054,31.4
"219","66",29424,-26.24,0.89,49.2,1.264,38.9
"220","59",14724,-25.9,2.11,29.6,0.936,31.6
"221","100",9116,-26.98,3.01,1,0.124,7.9
"222","75",3015,-27.91,-2.98,2.7,0.221,12.4
"223","102",7924,-26.99,1.8,0.9,0.12,7.6
"224","77",2658,-27.33,0.44,2.3,0.203,11.5
"225","109",9679,-26.94,3.71,1.2,0.129,9.4
"226","119",8173,-24.67,2.74,0.8,0.122,6.7
"227","84",4970,-27.2,0.68,1.1,0.118,9.5
"228","115",6974,-26.23,1.94,0.7,0.115,6.1
"229","88",5616,-27.27,1.48,1.3,0.146,8.9
"230","90",10103,-25.58,1.92,1.2,0.13,9.2
"231","92",12182,-26.99,1,1.1,0.126,8.8
"232","93",10665,-26.79,1.42,1,0.126,8
"233","96",9294,-26.86,1.43,1,0.116,8.6
"234","97",8793,-27.12,1.25,0.9,0.11,8.4
"235","99",13193,-27.29,1.73,1.3,0.125,10
"245","137",8165,-25.85,4.78,0.8,0.154,5.4
"246","124",7101,-26.11,4.84,0.8,0.147,5.2
"247","127",5974,-26.47,4.52,0.7,0.13,5.2
"248","126",8224,-26.45,4.53,0.9,0.155,5.9
"249","123",5903,-26.44,4.78,0.8,0.154,5.2
"250","112",8086,-27.04,4.28,1,0.136,7.3
"251","84",9329,-27.25,4.11,1.5,0.168,8.9
"252","38.5",10702,-25.97,2.34,12.9,0.619,20.9
"253","26",10597,-23.64,2.81,16.2,1.438,11.2
"254","30",19570,-23.2,3.22,16.7,1.521,11
"255","174",8330,-25.32,5.02,0.5,0.129,3.9
"256","185",9268,-28.97,5.12,0.5,0.133,4.1
"257","186",7391,-25.1,4.82,0.5,0.127,3.7
"258","194",6955,-24.96,5.11,0.5,0.14,3.6
"259","193",6439,-25.39,4.84,0.4,0.122,3.6
"266","195",8101,-25.03,5.04,0.5,0.14,3.7
"267","149",8505,-23.61,4.92,0.7,0.141,5.2
"268","147",7554,-23.99,4.73,0.7,0.138,4.9
"269","143",8593,-25.3,4.71,0.7,0.138,5
"270","148",7269,-25.67,4.92,0.6,0.141,4.5
"271","150",5857,-32.16,4.33,0.6,0.125,4.7
"272","141",6665,-26.08,3.98,0.7,0.119,5.5
"273","165",6649,-24.99,4.89,0.6,0.142,4.1
"274","169",7192,-23.17,4.85,0.6,0.137,4.6
"275","189",8016,-25.33,5.04,0.5,0.129,3.8
"276","188",7497,-24.55,4.9,0.4,0.124,3.6
"277","146",5953,-25.48,4.65,0.5,0.127,4.3
"278","164",7949,-24.81,5.07,0.6,0.143,3.9
"279","190",7856,-25.01,4.55,0.5,0.12,4.1
"280","150",7870,-25.93,4.63,0.6,0.121,4.8
"281","171",7455,-25.66,4.88,0.5,0.128,3.9
"282","38.5",5121,-26.21,1.42,14.7,0.798,18.4
"283","95",7601,-27.24,4.13,1.2,0.152,7.8
"294","161",4355,-25.26,NA,0.5,NA,NA
"295","95",6805,-26.61,NA,1.3,NA,NA
"296","163",4033,-25.54,NA,0.6,NA,NA
"297","37.5",3243,-25.37,NA,10.8,NA,NA
"298","79",6622,-27.44,NA,2.6,NA,NA
"299","196",5127,-24.91,NA,0.5,NA,NA
"300","152",4347,-25.36,NA,0.7,NA,NA
"301","68",8055,-24.74,NA,36.9,NA,NA
"302","87",4836,-27.13,NA,1.7,NA,NA
"303","177",3048,-24.9,NA,0.4,NA,NA
"304","128",2549,-26.09,NA,0.6,NA,NA
"305","26.5",3322,-22.91,NA,15.2,NA,NA
"306","32",2426,-25.22,NA,10.1,NA,NA
"307","36.5",2419,-25.43,NA,8.9,NA,NA
"308","54",13846,-26.51,NA,41.2,NA,NA
"315","62",8463,-26.35,NA,23.1,NA,NA
"316","70",13950,-27.05,NA,21.3,NA,NA
"317","78",2252,-27.32,NA,3.1,NA,NA
"318","82",1419,-26.97,NA,2,NA,NA
"319","86",1765,-27.09,NA,1.7,NA,NA
"320","158",2052,-25.11,NA,0.6,NA,NA
"321","160",1870,-25.35,NA,0.6,NA,NA
"322","162",2939,-24.93,NA,0.6,NA,NA
"323","181",4862,-25.45,NA,0.5,NA,NA
"324","85",7082,-26.72,NA,1.7,NA,NA
"325","144",3870,-25.67,NA,0.6,NA,NA
"326","151",4566,-25.79,NA,0.7,NA,NA
"327","134",4204,-26.3,NA,0.8,NA,NA
"328","113",3021,-26.13,NA,0.8,NA,NA
"329","175",6085,-25.81,NA,0.6,NA,NA
"330","187",6115,-24.78,NA,0.5,NA,NA
"331","155",4231,-25.15,NA,0.6,NA,NA
"342","38",3940,-25.07,7.67,1.1,0.06,17.6
"343","97",4590,-24.63,7.97,1.02,0.05,22.3
"344","134",2787,-24.19,7.85,0.18,0.02,8
"345","80",4401,-25.03,7.9,0.32,0.03,10.9
"346","96",2227,-24.61,7.37,0.15,0.01,11.3
"347","103",3976,-24.31,8.16,0.21,0.03,8.5
"348","90",6239,-24.71,8.14,0.26,0.02,10.5
"349","59",3639,-24.56,7.26,4.2,0.11,39.3
"350","75",4804,-25.07,7.82,0.28,0.02,15.1
"351","31.5",6981,-24.42,7.93,1.16,0.08,14.4
"352","106",3313,-24.93,8.21,0.24,0.04,6.7
