Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data     13/10/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,La,Ce,Pr,Nd,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Tube,Location
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000017.spe,81.85,5.65,1,0.018673,-0.004017,0.009223,0.089663,41692.53516,1.1,0,17,39,7,10,0,356,0,21,18,59,39,166,867,128,91,0,0,160,89,254,611,0,0,0,0,16,28,42,129,323,0,69,70106,11958,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000018.spe,82.85,5.65,1,0.018673,-0.004017,0.009223,0.089663,41510.83984,1.17,0,0,0,32,25,0,342,5,0,43,48,27,303,803,152,0,44,0,52,113,315,520,0,7,0,11,38,28,10,42,302,0,13,69673,12021,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000019.spe,83.85,5.7,1,0.018673,-0.004017,0.009223,0.089663,40045.38281,1.22,0,30,16,20,0,12,361,0,15,51,100,25,251,802,186,50,0,0,82,189,151,785,0,0,0,0,7,22,0,50,186,0,53,68629,11281,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000020.spe,84.85,5.72,1,0.018673,-0.004017,0.009223,0.089663,40403.56641,1.1,0,18,13,18,33,26,401,0,15,60,53,32,187,889,272,61,0,0,155,0,0,687,0,9,0,0,15,44,27,126,130,0,0,68638,11447,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000021.spe,85.85,5.69,1,0.018673,-0.004017,0.009223,0.089663,41551.01563,1.14,0,13,13,13,0,0,284,0,11,48,63,5,506,828,282,25,0,0,145,55,43,771,0,0,0,0,25,47,15,60,86,0,37,69765,11701,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000022.spe,86.85,5.69,1,0.018673,-0.004017,0.009223,0.089663,40677.15234,1.07,6,37,0,11,0,0,377,0,22,19,43,0,181,737,213,0,0,0,286,84,50,693,0,0,8,20,0,0,19,59,158,0,0,69582,11391,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000023.spe,87.85,5.73,1,0.018673,-0.004017,0.009223,0.089663,41792.42578,1.16,0,0,6,0,20,0,350,0,11,62,45,20,264,711,208,14,0,0,190,121,88,480,0,0,0,0,39,40,0,27,290,0,66,69571,11227,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000024.spe,88.85,5.65,1,0.018673,-0.004017,0.009223,0.089663,43810.43359,1,13,20,35,0,11,13,323,0,48,58,109,20,346,644,282,16,90,126,90,0,0,483,0,0,15,19,48,55,61,44,261,49,128,69372,11424,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000025.spe,89.85,5.69,1,0.018673,-0.004017,0.009223,0.089663,41317.62891,1.11,0,0,0,0,0,0,331,0,25,0,101,0,463,782,139,42,0,0,129,0,80,570,0,5,24,34,10,28,34,32,293,0,0,69029,11436,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000026.spe,90.85,5.76,1,0.018673,-0.004017,0.009223,0.089663,41185.34766,1.12,0,11,13,13,0,0,339,5,28,26,58,0,260,741,202,0,26,0,117,256,157,497,0,8,0,7,10,20,37,86,183,0,0,69544,11595,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000027.spe,91.85,5.71,1,0.018673,-0.004017,0.009223,0.089663,41578.48438,1.11,31,51,26,4,0,0,358,0,34,45,74,0,233,782,182,33,0,0,63,78,114,436,0,4,0,0,33,27,15,129,330,0,0,70724,11832,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000028.spe,92.85,5.77,1,0.018673,-0.004017,0.009223,0.089663,42814.80469,1.04,5,6,0,0,0,0,324,0,0,54,85,0,570,815,189,28,0,0,189,256,155,649,5,10,0,23,44,34,8,11,299,0,0,71380,12269,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000029.spe,93.85,5.72,1,0.018673,-0.004017,0.009223,0.089663,42793.21094,1.09,0,0,0,6,0,0,337,4,13,22,69,15,484,896,269,0,0,0,0,189,0,725,5,14,17,27,24,33,52,98,134,0,0,71443,12310,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000030.spe,94.85,5.74,1,0.018673,-0.004017,0.009223,0.089663,44565.82813,0.98,7,25,43,22,0,0,261,0,33,42,59,16,419,638,280,27,41,62,0,71,0,449,0,19,0,9,54,40,37,54,227,9,98,71239,11996,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000031.spe,95.85,5.66,1,0.018673,-0.004017,0.009223,0.089663,43141.29688,1.03,0,0,0,22,20,0,284,10,36,18,63,8,235,826,183,115,0,0,0,74,0,548,0,10,24,6,43,46,41,149,215,0,63,70932,11780,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000032.spe,96.85,5.69,1,0.018673,-0.004017,0.009223,0.089663,45865.39453,1.16,30,38,7,19,0,0,210,0,43,38,117,0,5,712,409,63,46,0,40,0,16,330,7,0,25,39,32,31,62,161,412,82,186,72281,12147,Mo,1
