Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data     13/10/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,La,Ce,Pr,Nd,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Tube,Location
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000000.spe,10.81,8,1,0.018659,-0.003656,0.010021,0.091706,14242.03223,1.56,16,0,24,0,0,0,553,0,8,8,8,9,142,291,76,40,27,0,103,194,165,725,0,0,0,0,0,0,0,0,0,39,0,17366,3858,Mo,3
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000001.spe,11.81,8,1,0.018659,-0.003656,0.010019,0.091706,14820.25781,1.61,0,4,0,6,5,0,560,0,0,0,12,7,196,289,102,0,0,0,112,168,233,773,21,0,0,0,0,0,5,0,0,0,0,20136,4479,Mo,3
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000002.spe,12.81,8,1,0.018659,-0.003656,0.010018,0.091706,18346.7832,1.91,0,11,0,19,0,19,564,10,16,0,8,21,264,337,66,8,0,0,140,179,232,1164,0,0,20,0,0,18,8,25,0,0,0,26085,5501,Mo,3
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000003.spe,13.81,7.23,1,0.018659,-0.003656,0.010018,0.091706,32551.875,1.11,0,24,63,15,11,13,343,35,148,1223,109,28,20206,512,67,5,0,0,31,301,312,2911,0,11,0,55,98,29,18,0,288,0,20,39342,9784,Mo,3
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000004.spe,14.81,6.5,1,0.018659,-0.003656,0.010018,0.091706,35794.65234,1.4,20,0,100,0,0,17,164,22,206,1612,145,0,28349,424,197,0,52,0,100,537,315,2399,0,7,32,34,60,50,43,0,179,7,0,44290,11055,Mo,3
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000005.spe,15.81,6.61,1,0.018659,-0.003656,0.010018,0.091706,39565.78516,1.22,10,0,114,13,0,0,192,8,267,2213,196,0,38032,470,232,0,136,0,305,449,142,3086,0,7,0,79,114,67,30,0,185,5,27,46856,11655,Mo,3
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000006.spe,16.81,6.67,1,0.018659,-0.003656,0.010018,0.091706,42620.94922,1.04,11,6,159,20,5,0,228,35,265,2764,157,78,44603,547,224,20,118,0,417,523,377,3274,0,24,41,75,121,79,42,0,168,25,54,51639,12841,Mo,3
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000007.spe,17.81,6.69,1,0.018659,-0.003656,0.010018,0.091706,44755.66797,1.18,0,13,118,0,17,0,202,10,272,2979,216,34,47827,525,373,0,124,0,422,506,56,3499,0,33,0,64,108,111,71,0,49,19,10,52933,12940,Mo,3
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000008.spe,18.81,6.68,1,0.018659,-0.003656,0.010018,0.091706,45692.28906,1.1,5,39,174,25,0,19,145,70,258,3108,203,33,50006,453,242,0,219,0,180,596,143,3769,0,40,8,49,103,124,114,0,236,61,130,54420,13688,Mo,3
Z:\Data\2017\2017rc0101 M. Bird\U125_XRF\XRF data\L000009.spe,19.81,6.67,1,0.018659,-0.003656,0.010018,0.091706,45579.13672,1.19,15,11,150,46,7,16,201,55,327,3331,158,64,47173,656,300,0,231,0,297,573,377,3911,0,42,12,90,147,113,79,0,113,0,57,55158,14138,Mo,3
