P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data     19/12/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Br,Rb,Sr,Y,Zr,Pd,Sn,Ba,Ta,Pb,Mo inc,Mo coh,Tube,Location
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000017.spe,73.64,6.51,1,0.018657,-0.005509,0.008729,0.098113,32820.86328,1.25,0,10,65,0,4,0,1933,0,448,353,415,246,1087,223,368,473,13,0,0,144,0,42,0,175,49,8,77,211,51,45940,39786,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000018.spe,74.64,6.48,1,0.018657,-0.005509,0.008729,0.098113,30996.45508,1.3,20,20,95,0,0,5,2044,0,492,455,377,0,999,327,381,493,0,0,108,0,0,0,0,118,13,0,9,165,0,42046,36819,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000019.spe,75.64,6.49,1,0.018657,-0.005509,0.008729,0.098113,30718.76953,1.06,7,9,170,0,0,5,2093,0,563,431,370,0,1366,128,294,515,19,220,150,152,0,61,43,105,74,0,0,216,0,39222,34883,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000020.spe,76.64,6.49,1,0.018657,-0.005509,0.008729,0.098113,31802.10156,1.18,10,17,67,19,0,20,1889,17,516,430,378,0,1743,226,351,391,72,0,238,0,11,0,0,192,30,0,64,480,0,40921,36501,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000021.spe,77.64,6.49,1,0.018657,-0.005509,0.008729,0.098113,31816.8125,1.22,4,0,71,0,0,25,1699,0,486,562,302,0,1859,342,438,473,69,0,205,0,0,0,0,0,70,0,0,230,0,39475,36411,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000022.spe,78.64,6.48,1,0.018657,-0.005509,0.008729,0.098113,33300.22656,1.25,13,0,0,0,0,0,1871,0,394,372,369,0,1256,0,335,518,0,0,127,33,36,0,0,80,15,8,66,12,0,42084,38076,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000023.spe,79.64,6.56,1,0.018657,-0.005509,0.008729,0.098113,33896.60938,1.18,0,0,32,0,0,0,1855,0,479,334,340,0,3150,226,315,425,19,135,159,71,44,93,0,0,27,0,57,297,0,42595,37376,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000024.spe,80.64,6.49,1,0.018657,-0.005509,0.008729,0.098113,34312.08984,1.21,19,13,63,15,10,48,1688,0,546,391,312,0,3371,262,375,454,0,0,176,68,0,0,0,0,53,0,66,200,0,42354,38323,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000025.spe,81.64,6.51,1,0.018657,-0.005509,0.008729,0.098113,33571.94531,1.17,12,35,22,8,16,10,2012,0,559,447,321,0,1640,150,387,554,47,0,0,142,0,84,56,169,16,0,20,0,31,41163,36431,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000026.spe,82.64,6.52,1,0.018657,-0.005509,0.008729,0.098113,32105.19727,1.06,6,12,31,0,0,0,2092,0,461,440,326,62,1597,7,338,359,0,0,235,48,0,120,0,147,29,0,0,193,0,38043,33693,Cr,1
