labID,age,error,depth
OZY416,2270,70,3
OZX672,3840,45,6
OZY417,4230,70,12.5
OZY333,6435,30,32
OZY418,7140,80,23
OZX673,8660,40,43
OZX674,15240,60,67
OZY420,17670,160,76
OZY422,18350,170,105
OZY421,19450,80,90
OZX675,24340,190,137
OZX676,26290,260,146
OZX677,27100,140,162
