depth	min	max	median	mean
0	2962	4573	4085	4037
1	3296	4594	4189	4153
2	3642	4646	4292	4269
3	3933	4782	4394	4385
4	4088	5049	4495	4500
5	4127	5320	4604	4616
6	4267	5372	4694	4715
7	4347	5450	4796	4815
8	4398	5581	4891	4914
9	4428	5779	4975	5013
10	4468	5998	5063	5112
11	4583	6082	5163	5213
12	4649	6222	5264	5315
13	4704	6365	5363	5416
14	4748	6558	5462	5518
15	4789	6779	5560	5619
16	4917	6830	5672	5728
17	4988	6933	5786	5837
18	5051	7074	5897	5946
19	5096	7270	6002	6054
20	5145	7484	6115	6163
21	5249	7526	6216	6262
22	5335	7571	6322	6361
23	5404	7678	6431	6459
24	5466	7844	6527	6558
25	5512	8004	6625	6657
26	5620	8061	6730	6755
27	5693	8149	6828	6853
28	5764	8197	6927	6951
29	5834	8287	7016	7049
30	5895	8410	7109	7147
31	6005	8485	7217	7246
32	6118	8524	7339	7346
33	6215	8604	7451	7445
34	6276	8686	7570	7545
35	6343	8797	7676	7644
36	6457	8837	7773	7740
37	6592	8875	7885	7835
38	6686	8926	7989	7931
39	6772	8977	8094	8026
40	6833	9062	8195	8122
41	6990	9101	8290	8213
42	7117	9148	8387	8305
43	7218	9213	8489	8396
44	7334	9279	8571	8487
45	7414	9372	8648	8579
46	7557	9439	8763	8691
47	7679	9567	8866	8803
48	7781	9775	8961	8915
49	7875	10032	9050	9028
50	7958	10284	9145	9140
51	8094	10343	9249	9248
52	8189	10425	9351	9357
53	8284	10547	9462	9465
54	8354	10675	9572	9573
55	8409	10855	9670	9682
56	8582	10909	9798	9802
57	8724	10964	9940	9921
58	8833	11071	10072	10041
59	8904	11188	10196	10161
60	8973	11341	10314	10281
61	9071	11403	10452	10404
62	9163	11466	10584	10526
63	9251	11563	10733	10648
64	9327	11675	10873	10770
65	9385	11819	11012	10893
66	9558	11895	11141	11018
67	9714	12001	11267	11143
68	9881	12125	11378	11268
69	9997	12270	11481	11393
70	10088	12490	11577	11519
71	10236	12587	11697	11648
72	10443	12750	11810	11776
73	10600	12904	11919	11905
74	10727	13123	12029	12034
75	10865	13417	12144	12163
76	11019	13471	12250	12271
77	11170	13584	12365	12380
78	11301	13689	12475	12488
79	11403	13816	12586	12596
80	11493	13964	12689	12705
81	11644	14066	12799	12813
82	11761	14176	12913	12922
83	11866	14290	13017	13030
84	11942	14437	13120	13139
85	12022	14642	13213	13247
86	12154	14731	13321	13354
87	12235	14843	13434	13461
88	12333	14942	13545	13568
89	12397	15104	13647	13675
90	12467	15300	13737	13782
91	12603	15380	13861	13897
92	12726	15482	13977	14013
93	12819	15609	14102	14128
94	12899	15763	14211	14244
95	12962	15904	14321	14359
96	13101	15983	14426	14471
97	13230	16052	14544	14582
98	13347	16171	14654	14694
99	13408	16316	14761	14805
100	13478	16498	14881	14917
101	13608	16580	14986	15029
102	13739	16704	15106	15142
103	13852	16849	15231	15255
104	13934	16973	15362	15368
105	13992	17108	15470	15480
106	14138	17186	15559	15583
107	14257	17271	15661	15686
108	14346	17332	15763	15788
109	14419	17439	15872	15891
110	14486	17586	15987	15994
111	14644	17662	16100	16101
112	14774	17718	16199	16209
113	14876	17815	16311	16317
114	14940	17967	16422	16425
115	14994	18080	16540	16533
116	15198	18141	16637	16643
117	15310	18216	16746	16752
118	15398	18309	16850	16862
119	15495	18402	16973	16972
120	15557	18548	17079	17082
121	15757	18614	17190	17194
122	15913	18679	17308	17306
123	16060	18747	17440	17418
124	16172	18838	17555	17530
125	16278	18966	17665	17643
126	16424	19037	17773	17741
127	16523	19117	17870	17840
128	16640	19183	17965	17939
129	16724	19289	18066	18038
130	16781	19409	18169	18136
131	16974	19480	18264	18242
132	17157	19613	18358	18348
133	17290	19716	18456	18453
134	17408	19856	18558	18559
135	17523	19993	18659	18665
136	17703	20058	18742	18772
137	17864	20168	18839	18879
138	17988	20292	18938	18987
139	18076	20398	19041	19094
140	18201	20564	19147	19202
141	18337	20652	19234	19294
142	18472	20759	19322	19386
143	18577	20879	19410	19478
144	18728	20980	19497	19570
145	18763	21064	19588	19661
146	18878	21129	19678	19757
147	18967	21206	19778	19853
148	19017	21296	19876	19949
149	19080	21416	19971	20045
150	19122	21568	20067	20141
151	19259	21658	20176	20248
152	19350	21797	20283	20355
153	19441	21954	20395	20462
154	19514	22137	20495	20570
155	19574	22366	20592	20677
156	19660	22430	20694	20780
157	19757	22531	20802	20883
158	19838	22636	20907	20986
159	19898	22773	21014	21089
160	19957	22961	21111	21192
161	20057	23059	21206	21294
162	20144	23168	21311	21396
163	20240	23306	21414	21497
164	20295	23486	21521	21599
165	20360	23661	21625	21701
166	20452	23788	21729	21803
167	20534	23946	21826	21906
168	20603	24069	21926	22009
169	20661	24238	22020	22111
170	20704	24326	22120	22214
171	20818	24426	22212	22306
172	20909	24504	22309	22398
