depth	min	max	median	mean
0	-55	1118	427	425
1	740	1607	1138	1132
2	1518	2168	1858	1839
3	2215	2784	2592	2547
4	2794	3506	3293	3254
5	3347	4294	3996	3961
6	3451	4353	4095	4075
7	3597	4439	4217	4188
8	3703	4570	4333	4302
9	3760	4745	4442	4415
10	3833	4931	4552	4528
11	4200	5019	4655	4646
12	4492	5127	4759	4764
13	4624	5290	4873	4882
14	4683	5486	4974	4999
15	4733	5778	5076	5117
16	4905	6025	5326	5348
17	5003	6338	5576	5580
18	5066	6617	5822	5811
19	5124	6949	6062	6043
20	5173	7343	6297	6274
21	5429	7394	6428	6403
22	5649	7408	6556	6532
23	5798	7440	6705	6661
24	5891	7463	6850	6790
25	5977	7510	6988	6919
26	6103	7521	7043	6978
27	6189	7529	7095	7037
28	6240	7544	7152	7095
29	6299	7564	7204	7154
30	6348	7603	7263	7212
31	6801	7635	7361	7340
32	7248	7672	7456	7468
33	7449	7798	7573	7595
34	7488	8253	7675	7723
35	7516	8704	7775	7851
36	7706	8849	8006	8062
37	7812	9011	8246	8273
38	7894	9182	8480	8484
39	7971	9381	8705	8695
40	8023	9679	8920	8906
41	8478	9722	9149	9138
42	8927	9778	9380	9371
43	9376	9885	9596	9603
44	9693	10107	9819	9836
45	9756	10457	10062	10069
46	9935	11100	10398	10432
47	10040	12060	10700	10796
48	10113	13086	10994	11160
49	10178	14154	11283	11524
50	10228	15242	11576	11888
51	10471	15359	11932	12197
52	10627	15533	12313	12505
53	10743	15696	12705	12814
54	10849	15906	13030	13122
55	10928	16179	13351	13431
56	11424	16379	13767	13807
57	11812	16627	14139	14182
58	12170	16895	14570	14558
59	12475	17233	14949	14934
60	12737	17792	15299	15310
61	13564	17934	15706	15743
62	14204	18078	16155	16177
63	14679	18230	16656	16611
64	14881	18401	17249	17044
65	15174	18721	17713	17478
66	16314	18776	18050	17890
67	17439	18844	18379	18301
68	18382	18973	18720	18713
69	18638	19727	19083	19124
70	18751	20843	19403	19536
71	19152	20964	19752	19846
72	19455	21084	20103	20156
73	19731	21242	20465	20466
74	19958	21510	20800	20777
75	20163	21932	21099	21087
76	20549	22016	21292	21291
77	20839	22100	21495	21494
78	21057	22257	21713	21698
79	21159	22567	21914	21902
80	21247	22979	22094	22106
81	21411	23062	22245	22253
82	21548	23170	22403	22400
83	21665	23295	22562	22546
84	21711	23440	22725	22693
85	21806	23652	22885	22840
86	22113	23698	23021	22987
87	22401	23747	23150	23135
88	22654	23799	23296	23282
89	22816	23875	23452	23429
90	22949	24003	23603	23577
91	23024	24055	23678	23653
92	23089	24134	23759	23730
93	23168	24278	23831	23806
94	23215	24447	23897	23883
95	23250	24653	23955	23959
96	23306	24725	24024	24024
97	23367	24834	24084	24088
98	23417	24950	24143	24153
99	23438	25091	24196	24217
100	23458	25244	24244	24282
101	23530	25328	24308	24346
102	23577	25417	24367	24410
103	23601	25507	24433	24474
104	23624	25639	24495	24538
105	23657	25747	24551	24601
106	23735	25853	24642	24694
107	23788	25935	24730	24787
108	23831	26069	24826	24880
109	23889	26227	24915	24972
110	23923	26415	24991	25065
111	24074	26515	25129	25189
112	24180	26625	25270	25313
113	24236	26743	25405	25437
114	24293	26914	25534	25561
115	24355	27126	25657	25685
116	24539	27195	25795	25812
117	24683	27278	25925	25940
118	24775	27375	26067	26068
119	24852	27486	26200	26196
120	24907	27646	26332	26323
121	25091	27717	26471	26449
122	25231	27801	26600	26575
123	25336	27899	26751	26701
124	25397	28011	26879	26826
125	25475	28156	27001	26952
126	25733	28228	27136	27086
127	25939	28310	27274	27220
128	26087	28381	27407	27354
129	26212	28459	27550	27488
130	26331	28590	27678	27622
131	26588	28633	27801	27750
132	26798	28704	27925	27878
133	26931	28766	28060	28006
134	27075	28865	28195	28134
135	27178	29003	28321	28262
136	27530	29038	28430	28390
137	27849	29071	28541	28517
138	28134	29128	28651	28645
139	28336	29199	28775	28773
140	28441	29376	28898	28901
141	28641	29563	29098	29094
142	28771	29780	29295	29286
143	28862	30074	29488	29479
144	28925	30409	29679	29671
145	28973	30779	29871	29864
146	29219	30823	30006	30005
147	29408	30882	30142	30145
148	29537	30979	30289	30286
149	29630	31113	30441	30427
150	29729	31292	30576	30568
151	29839	31328	30659	30643
152	29940	31389	30738	30719
153	30008	31450	30816	30794
154	30084	31508	30894	30869
155	30167	31601	30971	30945
156	30289	31628	31036	31020
157	30370	31664	31110	31095
158	30485	31711	31191	31170
159	30577	31784	31273	31245
160	30636	31866	31353	31321
161	30825	31902	31417	31398
162	31007	31939	31478	31475
163	31194	31986	31541	31553
164	31331	32055	31611	31630
165	31406	32156	31686	31707
166	31509	32502	31867	31905
167	31576	33106	32031	32103
168	31617	33654	32187	32301
169	31659	34269	32345	32499
170	31688	34931	32504	32697
171	31797	35122	32699	32900
172	31899	35369	32907	33102
