depth	min	max	median	mean
3	2084	3377	2338	2465
4	2628	3621	2881	2945
5	3109	3865	3423	3425
6	3543	4191	3933	3905
7	3957	4764	4386	4385
8	4333	5382	4824	4865
9	4413	5420	4854	4903
10	4488	5453	4881	4942
11	4554	5496	4918	4980
12	4604	5553	4957	5018
13	4642	5617	4986	5057
14	4827	5805	5255	5279
15	4923	6088	5496	5501
16	4986	6399	5720	5723
17	5053	6745	5938	5945
18	5121	7119	6161	6167
19	5503	7173	6330	6341
20	5833	7237	6500	6515
21	6055	7305	6683	6689
22	6212	7440	6878	6862
23	6312	7663	7080	7036
24	6453	7690	7123	7086
25	6561	7710	7170	7135
26	6646	7738	7215	7184
27	6701	7759	7262	7234
28	6741	7789	7313	7283
29	6901	7808	7353	7335
30	7063	7832	7388	7386
31	7208	7863	7427	7437
32	7345	7888	7470	7489
33	7407	7916	7521	7540
34	7511	8082	7744	7755
35	7555	8412	7968	7970
36	7588	8802	8191	8184
37	7625	9213	8408	8399
38	7659	9627	8624	8614
39	8213	9668	8925	8920
40	8764	9723	9224	9226
41	9299	9827	9522	9532
42	9681	10112	9822	9838
43	9758	10588	10137	10144
44	10019	11302	10565	10588
45	10152	12229	10992	11032
46	10246	13183	11391	11477
47	10331	14141	11795	11921
48	10408	15103	12204	12365
49	10693	15294	12530	12660
50	10920	15498	12876	12956
51	11114	15756	13194	13252
52	11309	16055	13501	13547
53	11482	16551	13799	13843
54	11996	16764	14146	14220
55	12361	16970	14540	14597
56	12679	17185	14964	14974
57	13036	17462	15353	15351
58	13330	17936	15745	15728
59	13855	18009	16067	16038
60	14307	18096	16390	16349
61	14608	18224	16751	16660
62	14890	18367	17124	16971
63	15167	18606	17436	17281
64	16249	18690	17846	17745
65	17393	18773	18257	18209
66	18321	18931	18685	18673
67	18658	19733	19104	19136
68	18776	20843	19501	19600
69	19037	20925	19747	19820
70	19193	21037	20016	20040
71	19286	21181	20276	20260
72	19373	21421	20519	20480
73	19454	21784	20743	20701
74	19913	21844	20930	20914
75	20354	21925	21127	21127
76	20704	22012	21333	21340
77	20963	22133	21549	21553
78	21144	22366	21762	21766
79	21330	22486	21922	21919
80	21452	22650	22080	22072
81	21527	22868	22239	22226
82	21591	23116	22385	22379
83	21640	23406	22535	22532
84	21916	23457	22686	22689
85	22145	23509	22854	22846
86	22320	23578	23019	23003
87	22447	23701	23195	23160
88	22556	23888	23349	23317
89	22797	23922	23448	23429
90	22995	23976	23556	23541
91	23156	24058	23673	23654
92	23273	24187	23789	23766
93	23341	24391	23885	23879
94	23408	24478	23956	23951
95	23443	24609	24023	24023
96	23478	24768	24085	24095
97	23512	24950	24140	24167
98	23538	25158	24201	24239
99	23578	25228	24282	24313
100	23624	25320	24357	24386
101	23664	25447	24427	24460
102	23688	25577	24497	24534
103	23710	25753	24557	24607
104	23782	25837	24646	24695
105	23828	25946	24740	24782
106	23868	26088	24828	24869
107	23919	26241	24903	24956
108	23949	26447	24986	25043
109	24095	26525	25152	25205
110	24212	26758	25332	25367
111	24304	27020	25496	25530
112	24393	27315	25652	25692
113	24468	27611	25800	25854
114	24631	27745	25973	26017
115	24766	27852	26155	26181
116	24875	27957	26340	26345
117	24958	28170	26509	26509
118	25033	28374	26675	26672
119	25220	28479	26850	26838
120	25423	28573	27036	27004
121	25546	28697	27203	27170
122	25643	28903	27371	27336
123	25743	29059	27540	27502
124	25979	29133	27697	27664
125	26145	29229	27859	27825
126	26297	29336	28051	27987
127	26427	29475	28219	28148
128	26534	29642	28415	28310
129	26837	29719	28563	28474
130	27083	29772	28721	28638
131	27299	29866	28894	28801
132	27487	29972	29066	28965
133	27605	30133	29235	29129
134	28102	30161	29369	29298
135	28546	30219	29506	29466
136	28914	30288	29646	29635
137	29188	30411	29808	29803
138	29373	30598	29978	29972
139	29502	30638	30061	30058
140	29603	30707	30144	30143
141	29671	30783	30231	30229
142	29734	30894	30315	30315
143	29777	31042	30394	30401
144	29895	31078	30475	30484
145	30013	31135	30567	30567
146	30095	31181	30653	30650
147	30153	31259	30745	30733
148	30204	31388	30823	30816
149	30296	31423	30888	30876
150	30365	31463	30953	30937
151	30411	31519	31015	30998
152	30458	31590	31075	31059
153	30493	31667	31133	31120
154	30592	31705	31193	31183
155	30696	31762	31252	31246
156	30764	31816	31318	31310
157	30829	31858	31381	31373
158	30885	31935	31442	31437
159	31039	31968	31492	31495
160	31172	32026	31539	31554
