depth	min	max	median	mean
0	-55	1318	333	351
1	778	1789	1136	1136
2	1583	2341	1934	1921
3	2353	3124	2702	2706
4	3100	4068	3459	3491
5	3783	5047	4226	4276
6	3961	5094	4318	4375
7	4117	5147	4415	4474
8	4212	5209	4526	4573
9	4253	5317	4636	4672
10	4281	5482	4745	4771
11	4462	5564	4826	4875
12	4599	5685	4919	4978
13	4666	5828	5020	5081
14	4706	5985	5135	5185
15	4742	6147	5245	5288
16	5019	6310	5475	5520
17	5155	6498	5730	5752
18	5240	6714	5986	5983
19	5304	7068	6218	6215
20	5381	7427	6454	6447
21	5623	7476	6568	6570
22	5830	7556	6691	6693
23	5929	7698	6807	6817
24	6024	7849	6937	6940
25	6118	8038	7071	7063
26	6310	8067	7124	7124
27	6486	8092	7178	7185
28	6650	8128	7221	7246
29	6775	8163	7282	7307
30	6843	8180	7343	7368
31	7129	8221	7404	7471
32	7318	8258	7498	7573
33	7376	8293	7611	7675
34	7397	8491	7724	7777
35	7419	8731	7827	7879
36	7572	8853	8055	8086
37	7648	9017	8294	8292
38	7723	9258	8529	8499
39	7785	9508	8762	8706
40	7830	9829	8991	8912
41	8443	9906	9244	9200
42	9045	10036	9478	9488
43	9558	10298	9720	9776
44	9684	10663	10027	10064
45	9759	11220	10303	10352
46	9985	11556	10720	10721
47	10105	12244	11062	11090
48	10184	13087	11375	11459
49	10259	13971	11650	11828
50	10339	14850	11958	12197
51	10700	15039	12460	12616
52	10918	15313	12960	13036
53	11071	15653	13487	13456
54	11203	16229	13981	13875
55	11362	17022	14373	14295
56	12083	17138	14740	14656
57	12468	17299	15121	15018
58	12667	17487	15458	15380
59	12884	17670	15902	15741
60	13106	18042	16310	16103
61	14048	18119	16634	16479
62	14946	18215	16957	16856
63	15837	18334	17271	17232
64	16596	18502	17627	17608
65	17041	18802	18031	17985
66	17735	18953	18316	18318
67	18320	19188	18617	18652
68	18514	19520	18989	18986
69	18608	20102	19317	19320
70	18674	20808	19626	19654
71	19147	20936	19956	19977
72	19593	21118	20285	20300
73	19955	21341	20602	20624
74	20249	21703	20927	20947
75	20466	22142	21260	21270
76	20715	22271	21422	21435
77	20906	22431	21585	21600
78	20984	22626	21752	21765
79	21068	22873	21910	21930
80	21153	23195	22062	22095
81	21324	23282	22206	22233
82	21453	23379	22343	22370
83	21548	23504	22500	22507
84	21640	23650	22651	22644
85	21703	23853	22788	22781
86	21989	23928	22920	22923
87	22254	23997	23042	23065
88	22489	24062	23178	23206
89	22674	24168	23322	23348
90	22812	24292	23467	23490
91	22885	24372	23529	23554
92	22937	24467	23587	23618
93	22974	24594	23643	23682
94	22997	24728	23703	23747
95	23019	24888	23759	23811
96	23070	24953	23828	23871
97	23102	25049	23890	23932
98	23135	25155	23946	23993
99	23165	25275	23989	24053
100	23193	25426	24039	24114
101	23245	25493	24096	24171
102	23274	25547	24159	24228
103	23292	25604	24211	24285
104	23332	25693	24267	24343
105	23353	25789	24321	24400
106	23516	25909	24446	24525
107	23573	26019	24593	24651
108	23644	26129	24733	24776
109	23705	26326	24860	24901
110	23761	26533	24972	25027
111	23929	26632	25096	25150
112	24014	26731	25236	25273
113	24079	26830	25374	25396
114	24163	26964	25502	25519
115	24211	27136	25616	25642
116	24397	27234	25758	25774
117	24513	27334	25895	25906
118	24625	27458	26035	26038
119	24705	27634	26180	26170
120	24780	27804	26322	26302
121	24951	27881	26439	26431
122	25052	27970	26571	26560
123	25177	28077	26718	26689
124	25286	28212	26843	26818
125	25385	28369	26977	26948
126	25646	28442	27107	27083
127	25803	28521	27230	27218
128	25966	28616	27372	27352
129	26104	28708	27522	27487
130	26226	28836	27662	27622
131	26495	28881	27777	27751
132	26795	28952	27885	27880
133	27009	29036	28006	28009
134	27211	29143	28136	28138
135	27340	29246	28262	28267
136	27738	29331	28431	28462
137	28028	29462	28630	28657
138	28212	29664	28821	28851
139	28306	29970	29020	29046
140	28379	30307	29200	29241
141	28686	30403	29412	29454
142	28935	30515	29650	29668
143	29115	30710	29874	29882
144	29259	30957	30104	30096
145	29368	31239	30330	30310
146	29631	31369	30564	30529
147	29793	31626	30778	30747
148	29909	32089	30957	30966
149	30021	32640	31130	31185
150	30103	33288	31300	31403
151	30254	33481	31517	31616
152	30373	33740	31731	31828
153	30489	34165	31930	32040
154	30562	34612	32115	32253
155	30659	35077	32288	32465
156	30799	35331	32515	32669
157	30941	35616	32734	32872
158	31057	35936	32919	33076
159	31166	36271	33097	33279
160	31267	36761	33283	33483
161	31422	36972	33487	33691
162	31533	37253	33697	33899
