depth	min	max	median	mean
0	-60	778	216	259
1	757	1502	1025	1054
2	1555	2254	1838	1849
3	2335	3021	2643	2644
4	3101	3823	3432	3439
5	3846	4674	4221	4235
6	4004	4823	4309	4341
7	4124	5040	4405	4448
8	4211	5268	4508	4555
9	4275	5528	4611	4661
10	4322	5810	4709	4768
11	4468	5850	4802	4860
12	4581	5902	4896	4953
13	4646	5961	4991	5045
14	4691	6018	5089	5137
15	4731	6074	5180	5229
16	4944	6203	5423	5465
17	5077	6441	5697	5700
18	5160	6750	5961	5935
19	5221	7070	6221	6170
20	5279	7433	6465	6406
21	5532	7481	6564	6517
22	5694	7521	6671	6629
23	5834	7578	6767	6741
24	5969	7642	6881	6853
25	6049	7732	7011	6965
26	6247	7770	7059	7031
27	6415	7832	7110	7098
28	6571	7881	7168	7165
29	6655	7950	7226	7232
30	6716	8020	7301	7299
31	7054	8086	7373	7419
32	7311	8138	7468	7538
33	7375	8206	7620	7658
34	7401	8340	7753	7777
35	7420	8560	7861	7897
36	7586	8666	8081	8104
37	7696	8833	8334	8311
38	7779	9098	8570	8519
39	7849	9412	8752	8726
40	7914	9762	8946	8933
41	8479	9826	9210	9207
42	9055	9932	9470	9482
43	9555	10266	9705	9757
44	9645	10712	9989	10031
45	9690	11183	10258	10306
46	10039	11461	10726	10714
47	10172	12237	11099	11122
48	10281	13281	11386	11530
49	10367	14356	11704	11938
50	10445	15426	12009	12346
51	10799	15536	12370	12660
52	10980	15656	12826	12975
53	11171	15872	13243	13289
54	11329	16140	13611	13603
55	11460	16570	13912	13918
56	12257	16735	14364	14377
57	12782	16901	14849	14835
58	13121	17121	15344	15294
59	13421	17452	15851	15753
60	13710	17926	16372	16212
61	14472	17999	16655	16527
62	15269	18081	16939	16843
63	15879	18195	17228	17159
64	16343	18339	17536	17475
65	16671	18570	17874	17791
66	17541	18707	18234	18197
67	18248	19010	18588	18602
68	18463	19591	18999	19008
69	18567	20429	19369	19413
70	18643	21347	19743	19819
71	19117	21431	20040	20107
72	19540	21517	20341	20396
73	19898	21658	20640	20684
74	20231	21857	20946	20973
75	20497	22073	21256	21261
76	20797	22221	21406	21432
77	20951	22416	21579	21603
78	21052	22612	21755	21775
79	21125	22911	21922	21946
80	21186	23177	22082	22117
81	21327	23256	22219	22248
82	21470	23327	22372	22379
83	21585	23420	22525	22511
84	21692	23545	22671	22642
85	21755	23725	22802	22773
86	22024	23772	22926	22907
87	22281	23831	23045	23041
88	22510	23909	23174	23175
89	22645	24024	23295	23309
90	22760	24186	23432	23444
91	22812	24245	23493	23505
92	22853	24320	23545	23566
93	22891	24439	23592	23628
94	22953	24562	23645	23689
95	22990	24701	23696	23750
96	23043	24783	23754	23807
97	23089	24857	23806	23864
98	23134	24948	23849	23920
99	23180	25056	23902	23977
100	23192	25170	23962	24033
101	23243	25246	24017	24089
102	23278	25341	24072	24144
103	23303	25453	24135	24200
104	23321	25534	24181	24256
105	23353	25643	24239	24311
106	23456	25755	24356	24429
107	23550	25895	24493	24547
108	23632	26017	24622	24665
109	23696	26168	24736	24783
110	23749	26329	24848	24901
111	23915	26446	25002	25045
112	24055	26526	25158	25189
113	24142	26705	25313	25334
114	24216	26882	25458	25478
115	24285	27109	25613	25622
116	24459	27183	25743	25751
117	24577	27304	25875	25879
118	24674	27418	25996	26007
119	24748	27546	26122	26136
120	24820	27760	26246	26264
121	25002	27831	26369	26389
122	25164	27890	26508	26513
123	25319	27981	26636	26637
124	25395	28082	26767	26761
125	25466	28246	26892	26886
126	25682	28300	27026	27020
127	25886	28370	27163	27154
128	26013	28473	27303	27289
129	26124	28587	27446	27423
130	26231	28749	27570	27558
131	26544	28825	27691	27694
132	26799	28893	27821	27830
133	27053	28972	27954	27966
134	27202	29090	28090	28103
135	27352	29211	28231	28239
136	27709	29295	28393	28421
137	27989	29405	28577	28603
138	28150	29530	28765	28786
139	28228	29745	28951	28968
140	28291	30072	29127	29150
141	28577	30171	29283	29317
142	28765	30295	29460	29484
143	28930	30445	29632	29651
144	29029	30627	29811	29818
145	29123	30841	29987	29985
146	29264	30914	30062	30068
147	29359	30966	30145	30150
148	29455	31049	30230	30233
149	29501	31118	30315	30316
150	29539	31210	30399	30398
151	29651	31275	30470	30472
152	29769	31341	30543	30546
153	29897	31420	30622	30620
154	29968	31487	30693	30694
155	30009	31583	30762	30768
156	30147	31673	30830	30838
157	30268	31731	30892	30908
158	30362	31820	30952	30978
159	30446	31871	31016	31049
160	30521	31963	31085	31119
161	30757	32054	31172	31234
162	30932	32189	31288	31349
163	31024	32296	31408	31464
164	31081	32407	31519	31579
165	31118	32650	31621	31695
166	31257	32871	31821	31885
167	31337	33170	32007	32076
168	31386	33643	32170	32266
169	31429	34231	32328	32457
170	31467	34787	32477	32648
171	31607	35045	32700	32850
172	31715	35207	32919	33051
